name,num_workers,outer,inner,N,nnz,csrmkl_sd,csrmkl_mflops,csrmkl_sum,csriemkl_sd,csriemkl_mflops,csriemkl_sum
mesh1e1,5,30,250000,48,306,20.716939,572.057,38629,11.847283,595.469,38629
commanche_dual,5,30,5000,7920,31680,185.739590,11119.5,28766,633.870598,12034.2,28766
bodyy6,5,30,500,19366,134208,469.759480,12628.6,33276,1194.562668,17554,24309
mesh2em5,5,30,25000,306,2018,89.323094,2385.16,60820,108.861856,2501.23,60820
mesh3em5,5,30,250000,289,1377,48.906246,1669.35,14465,206.645978,2608.37,14465
mesh2e1,5,30,25000,306,2018,98.104777,2434.26,2376,147.883260,2488.2,2376
bodyy5,5,30,500,18589,128853,1026.388058,12257.6,63707,1979.749870,16724.2,24963
tandem_dual,5,30,500,94069,460493,1591.985678,7420.35,58890,573.625368,12657.2,58890
Freescale1,5,30,25,3428755,17052626,87.132741,4478.37,52819,234.717736,4695.69,52819
transient,5,30,500,178866,961368,69.441430,6189.24,46402,1459.840536,8714.93,46402
circuit5M_dc,5,30,25,3523317,14865409,126.817711,3795.45,19643,83.049341,4178.81,60619
Freescale2,5,30,25,2999349,14313235,128.331506,5070.19,32987,108.444197,5456.57,32987
memchip,5,30,25,2707524,13343948,35.016051,4979.78,59644,106.626938,4774.04,59644
fpga_dcop_07,5,30,25000,1220,5855,353.389087,5429.34,13060,255.058161,5631.42,13060
adder_dcop_26,5,30,5000,1813,11246,126.961598,3903.23,3552,145.771075,3420.31,3552
adder_dcop_03,5,30,5000,1813,11148,251.131243,5596.02,58866,373.224101,5519.06,58866
fpga_dcop_26,5,30,25000,1220,5892,302.907599,6160.08,56771,346.592700,6554.05,56771
fpga_dcop_28,5,30,25000,1220,5892,271.870007,6111.17,40894,467.351777,6524.91,40894
fpga_dcop_32,5,30,25000,1220,5892,271.577414,5962.32,10703,386.606142,6535.69,10703
fpga_dcop_05,5,30,25000,1220,5852,270.905517,5891.63,61484,224.703954,5797.98,61484
fpga_dcop_16,5,30,25000,1220,5892,395.858596,6056.56,64748,253.737510,5756.29,64748
adder_dcop_08,5,30,5000,1813,11242,638.769684,7024.84,52089,578.620177,7350.05,52089
fpga_dcop_10,5,30,25000,1220,5884,495.292605,5536.78,47803,492.286033,6288.6,47803
oscil_dcop_46,5,30,250000,430,1544,31.104025,1758.69,6556,119.499069,1836.51,6556
adder_dcop_05,5,30,5000,1813,11097,485.624080,5951.17,25330,473.532708,6592.35,25330
adder_dcop_50,5,30,5000,1813,11246,739.504714,7081.55,44904,600.545726,7557.12,44904
fpga_dcop_20,5,30,25000,1220,5892,349.149008,6198.22,15912,488.636886,6401.99,15912
oscil_dcop_12,5,30,250000,430,1544,57.750183,1784.96,53890,130.179589,1836.34,53890
oscil_dcop_23,5,30,250000,430,1544,118.856852,1770.33,50433,155.508745,1780.4,50433
oscil_dcop_05,5,30,250000,430,1544,125.036617,1788.51,52726,136.074231,1805.62,52726
adder_dcop_22,5,30,5000,1813,11246,895.834677,6938.11,15295,246.296578,8156.19,15295
adder_dcop_29,5,30,5000,1813,11246,567.572669,7111.95,34606,445.662119,7925.88,34606
fpga_dcop_08,5,30,25000,1220,5888,134.398896,5875.27,12870,784.922880,5212.35,12870
oscil_dcop_52,5,30,250000,430,1544,132.219265,1778,6556,114.116463,1817.54,6556
adder_dcop_53,5,30,5000,1813,11246,644.411556,7056.1,10402,423.553095,7890.02,10402
fpga_dcop_06,5,30,25000,1220,5860,155.301439,5678.87,54906,772.392461,5076.26,54906
adder_dcop_14,5,30,5000,1813,11246,510.753491,4997.24,10471,128.326351,6121.26,10471
oscil_dcop_06,5,30,250000,430,1544,87.742768,1762.9,55183,106.045017,1822.24,55183
adder_dcop_30,5,30,5000,1813,11246,393.911922,7235.05,10196,455.838466,7947.03,10196
oscil_dcop_37,5,30,250000,430,1544,130.018050,1745.98,63561,114.042598,1770.92,63561
ASIC_680ks,5,30,25,682712,1693767,218.579205,4559.49,12204,60.553728,4659.94,12204
fpga_dcop_13,5,30,25000,1220,5892,933.831502,4868.92,54600,327.880431,6361.8,54600
fpga_dcop_51,5,30,25000,1220,5892,255.764877,6248.01,65267,278.555577,6603.38,65267
adder_dcop_34,5,30,5000,1813,11246,186.266843,7586.14,47344,181.712510,8080.45,47344
init_adder1,5,30,5000,1813,11156,476.470407,6718.43,27432,245.362526,7591.29,27432
fpga_dcop_49,5,30,25000,1220,5892,149.472027,6228.58,65267,632.404958,5934.95,65267
oscil_dcop_53,5,30,250000,430,1544,107.883776,1772.97,6556,79.864052,1787.11,6556
adder_dcop_60,5,30,5000,1813,11246,392.206793,7265.04,35558,228.106173,8044.52,35558
fpga_dcop_12,5,30,25000,1220,5892,115.441707,6242.35,30492,970.535809,5743.39,30492
oscil_dcop_20,5,30,250000,430,1544,63.657139,1784.73,199,164.972350,1825.61,199
adder_dcop_67,5,30,5000,1813,11246,820.832700,7084.53,25320,290.535494,8104.92,25320
adder_dcop_02,5,30,5000,1813,11246,15.839499,2191.12,17537,60.003582,1898.7,17537
oscil_dcop_22,5,30,250000,430,1544,89.625119,1766.27,25979,91.316886,1873.08,25979
adder_dcop_61,5,30,5000,1813,11246,295.375717,7457.19,44643,464.722391,8081.89,44643
fpga_dcop_02,5,30,25000,1220,5892,167.344665,5437.88,15393,867.561983,4886.43,15393
adder_dcop_16,5,30,5000,1813,11246,736.980564,5386.4,6489,292.558945,7428.56,6489
oscil_dcop_33,5,30,250000,430,1544,110.641539,1792.53,21966,71.519663,1765.52,21966
fpga_dcop_18,5,30,25000,1220,5892,102.883008,6345.52,26174,1082.654866,5121.24,26174
adder_trans_01,5,30,5000,1814,14579,833.510226,7296.38,42856,226.378329,9934.29,42856
fpga_dcop_37,5,30,25000,1220,5892,326.556026,6057.28,37750,386.526132,6579.39,37750
oscil_dcop_26,5,30,250000,430,1544,60.474433,1787.76,11042,100.452415,1824.26,11042
fpga_dcop_01,5,30,25000,1220,5892,841.580557,5631.55,40739,283.921109,6633.75,40739
oscil_dcop_54,5,30,250000,430,1544,91.374787,1772.25,6556,144.113207,1835.77,6556
oscil_dcop_35,5,30,250000,430,1544,108.453100,1759.27,12726,97.527623,1781.78,12726
adder_dcop_32,5,30,5000,1813,11246,318.007803,7450.13,63064,313.576532,7951.74,63064
fpga_dcop_47,5,30,25000,1220,5892,315.861530,6133.6,65267,101.476533,6807.04,65267
adder_dcop_68,5,30,5000,1813,11246,1041.948799,6804.99,27396,651.108496,5708.47,27396
fpga_dcop_35,5,30,25000,1220,5892,945.435250,5511.24,21751,355.163719,6416.35,21751
adder_dcop_17,5,30,5000,1813,11246,302.052845,7101.09,3000,847.403110,7727.33,3000
oscil_dcop_30,5,30,250000,430,1544,91.852829,1773.25,1635,163.229253,1759.8,1635
adder_dcop_12,5,30,5000,1813,11246,1322.591616,5599.47,60023,286.208502,7474.01,60023
adder_dcop_15,5,30,5000,1813,11246,532.041484,7021.19,2420,265.053430,7754.98,2420
adder_dcop_52,5,30,5000,1813,11246,655.324530,7155.08,49032,367.660580,8015.66,49032
fpga_trans_02,5,30,25000,1220,7382,314.479362,7072.89,36794,421.875745,7090.92,36794
oscil_dcop_34,5,30,250000,430,1544,79.686083,1757.78,41984,132.994912,1796.44,41984
adder_dcop_33,5,30,5000,1813,11246,435.178799,7214.42,11445,235.955711,7809.02,11445
ASIC_320ks,5,30,25,321671,1316085,148.154352,4787.99,61267,163.951596,4790.55,61267
