name,num_workers,outer,inner,N,nnz,csrmkl_sd,csrmkl_mflops,csrmkl_sum,csriemkl_sd,csriemkl_mflops,csriemkl_sum
olm100,5,30,250000,100,396,63.037416,747.222,30171,59.284531,969.071,13779
dwb512,5,30,25000,512,2500,326.058777,3041.66,58516,284.937913,4373.58,2965
pde900,5,30,25000,900,4380,179.252511,5285.15,65126,354.031237,6878.38,59060
rdb1250,5,30,25000,1250,7300,259.560804,7329.83,14022,179.360949,10162.2,14890
lop163,5,30,250000,163,935,47.964069,1289.19,5689,120.935214,1927.85,5689
odepa400,5,30,250000,400,1201,163.580415,1976.39,57889,233.008683,2820.46,57889
cdde1,5,30,25000,961,4681,217.070011,5403.99,8928,357.478391,7277.35,8928
qh768,5,30,25000,768,2934,192.128644,3653.18,9959,204.799621,3941.49,9959
dw1024,5,30,5000,2048,10114,457.425947,7672.35,17912,1066.116139,11477.1,2123
ck656,5,30,25000,656,3884,128.473840,4449.43,8816,442.355588,4224.65,48718
rdb1250l,5,30,25000,1250,7300,928.569137,6695.6,6120,412.727062,10168.9,38437
rw136,5,30,250000,136,479,57.627972,971.413,3816,37.834860,1243.13,28863
rbsa480,5,30,5000,480,17088,3072.240863,7611.13,12804,2874.462275,8793,12804
rdb5000,5,30,5000,5000,29600,301.323094,11159.9,20805,400.388789,16930.6,63600
pde2961,5,30,5000,2961,14585,453.610575,9505,61292,1549.552626,10624,43460
dw8192,5,30,5000,8192,41746,1706.130918,8681.5,4905,763.504953,16563.9,9671
mhd4800a,5,30,500,4800,102252,784.491087,18467.5,23809,2042.038113,17514.5,23809
cdde3,5,30,25000,961,4681,242.446084,5401.68,23982,171.413659,7553.36,23982
qh882,5,30,25000,882,3354,220.984057,3515.45,13705,217.994323,3424.94,13705
tols2000,5,30,25000,2000,5184,77.601487,4292.47,60755,805.168545,5921.26,20295
dw4096,5,30,5000,8192,41746,1756.812087,9139.92,4905,1025.869335,16812.7,9671
cdde5,5,30,25000,961,4681,172.461983,5500.58,26437,312.206007,7560.89,26437
cdde2,5,30,25000,961,4681,245.942133,5550.86,18628,420.855023,7519.59,18628
rdb2048_noL,5,30,5000,2048,12032,636.060526,7955.79,62738,432.891607,12601,32810
rdb450,5,30,25000,450,2580,44.767029,3748.33,29983,545.838319,4661.72,60503
bwm2000,5,30,25000,2000,7996,1356.043490,5958.18,5623,406.771785,10629.1,57643
odepb400,5,30,250000,400,399,85.131410,737.016,13,15.188702,1031.87,13
cdde6,5,30,25000,961,4681,159.585044,5375.02,8059,205.388122,7501.71,8059
ck400,5,30,25000,400,2860,594.070182,3257.53,32818,614.783342,4268.46,12594
rdb968,5,30,25000,968,5632,198.845163,6418.19,58354,515.902662,8082.66,8053
ck104,5,30,250000,104,992,92.250724,1678.85,25570,101.247426,2184.05,25570
olm5000,5,30,5000,5000,19996,1208.515176,6547.9,32051,1882.650386,11124.5,24521
cryg10000,5,30,5000,10000,49699,876.613379,11575.3,23864,1978.056096,19008.4,51561
tub1000,5,30,25000,1000,3996,206.404490,5229.94,51283,473.412295,6672.39,30797
bfwb62,5,30,250000,62,342,26.834878,583.627,14806,26.869417,600.235,14806
olm1000,5,30,25000,1000,3996,430.460050,4855.17,55913,329.930674,6466.51,3234
tols1090,5,30,25000,1090,3546,65.509603,3358.64,3917,115.250666,4788.47,9032
bfwa62,5,30,250000,62,450,49.748970,803.842,30021,27.333092,873.676,30021
mhda416,5,30,25000,416,8562,390.836201,10003.8,60569,639.252074,10063.3,60569
af23560,5,30,500,23560,460598,1319.487139,19347.4,29852,160.873078,18361.5,53575
rbsb480,5,30,5000,480,17088,2608.071171,6702.27,12889,3631.335149,9802.36,12889
dw256B,5,30,25000,512,2500,327.876863,2384.9,58516,214.004755,4304.49,2965
mhd4800b,5,30,5000,4800,27520,922.435270,10823.1,64592,880.946128,10854.9,64592
olm2000,5,30,25000,2000,7996,241.319282,7048.41,15233,491.743795,9137.54,15863
mhd3200a,5,30,2500,3200,68026,687.085381,17850.3,9801,938.899522,17834.9,9801
mhdb416,5,30,25000,416,2312,158.616415,3661.14,32365,450.753099,3018.3,32365
rw5151,5,30,5000,5151,20199,1700.582392,7153.99,27065,681.245279,14381.7,11273
rdb200l,5,30,250000,200,1120,61.401389,1437.24,27675,65.846066,2510.97,41468
tols4000,5,30,25000,4000,8784,583.237304,4527.23,64553,531.170414,9748.04,64553
dw2048,5,30,5000,2048,10114,450.873913,7653.29,17912,857.958349,11725.2,2123
tols90,5,30,250000,90,1746,149.519582,2298.64,17142,126.849105,2378.79,17142
qh1484,5,30,25000,1484,6110,181.108050,6092.54,24623,143.050769,6265.09,24623
cdde4,5,30,25000,961,4681,391.682947,4442.13,7947,278.323079,7618.48,7947
bwm200,5,30,250000,200,796,52.787909,1269.36,17391,40.762639,1873.12,17391
olm500,5,30,250000,500,1996,324.158971,3023.11,42048,401.222222,3903.3,45829
dwa512,5,30,25000,512,2480,168.927355,3032.16,6195,104.582742,4145.58,13479
rdb3200l,5,30,5000,3200,18880,220.600897,10028.2,35301,76.075058,15338,52615
mhd3200b,5,30,5000,3200,18316,171.636140,10435.3,38884,1923.964160,7764.57,38884
rdb450l,5,30,25000,450,2580,485.688224,3159.51,48908,316.355160,5153.63,65331
rw496,5,30,250000,496,1859,153.272051,2761.31,15216,142.065770,3407.77,33463
rdb800l,5,30,25000,800,4640,750.679791,5178.94,46745,375.203648,7936.26,47255
dw256A,5,30,25000,512,2480,211.329366,3076.36,6195,200.771844,4219.1,13479
airfoil_2d,5,30,500,14214,259688,1720.879238,15624.8,53835,74.139969,17260.1,62082
msdoor,5,30,25,415863,19173163,261.684708,8515.88,53292,496.594491,8007.03,53292
MISKnowledgeMap,5,30,2500,2427,57022,1268.302334,14680.5,57866,89.285155,17525.7,57866
Pd,5,30,5000,8081,13036,496.826220,5377.61,24539,103.371110,5793.54,24539
TS,5,30,5000,2142,45262,1218.853756,15700.1,29498,1000.484093,14675.4,64745
Kaufhold,5,30,5000,8765,42471,529.262697,3839.74,10513,380.077247,4089.88,10513
Harvard500,5,30,25000,500,2636,433.583927,3329.75,58765,191.040953,2978.5,58765
Kuu,5,30,500,7102,340200,867.417458,20610.4,11298,522.801260,18271.6,26689
pivtol,5,30,250000,102,306,31.995936,591.984,60288,22.044509,776.335,60288
Muu,5,30,500,7102,170134,1245.960203,18600.1,51034,1921.461418,17465,48829
Sieber,5,30,5000,2290,14873,634.157317,6941.77,13412,871.914830,9676.74,13412
tomography,5,30,5000,500,28726,575.938218,5582.14,46189,414.167418,5373.11,46189
amazon0302,5,30,25,262111,1234877,56.014507,4717.15,42107,47.955390,3993.27,42107
email-EuAll,5,30,500,265214,420045,115.122139,2098.41,11310,136.290817,3017.96,11310
as-Skitter,5,30,25,1696415,22190596,100.730473,2414.64,63090,83.656924,3133.91,63090
p2p-Gnutella09,5,30,5000,8114,26013,761.939218,7883.12,1938,307.455269,8311.66,1938
p2p-Gnutella05,5,30,5000,8846,31839,122.641452,8869.99,43058,1588.908800,6766.58,43058
soc-Slashdot0902,5,30,500,82168,948464,21.056297,3608.68,46251,141.495010,4713.28,46251
web-BerkStan,5,30,25,685230,7600595,71.791702,6789.72,29934,67.110038,5609.08,63870
web-Google,5,30,25,916428,5105039,81.511656,2473.61,40993,234.693139,2266.41,40993
as-735,5,30,5000,7716,26467,497.306081,6211.88,21844,208.145033,6120.19,21844
soc-sign-Slashdot090221,5,30,500,82144,549202,48.122008,3392.92,28501,145.707854,3521.24,28501
p2p-Gnutella08,5,30,5000,6301,20777,324.510251,8212.94,7697,75.388417,8765.68,7697
cit-Patents,5,30,25,3774768,16518948,14.480211,725.306,2872,81.398128,1333.01,2872
roadNet-PA,5,30,25,1090920,3083796,143.361205,3337.97,54156,128.580448,3338.46,54156
email-Enron,5,30,500,36692,367662,41.424635,4255.21,25549,302.733552,5388.36,25549
web-Stanford,5,30,25,281903,2312497,107.123120,3247.69,35113,76.634922,3256.04,35113
as-caida,5,30,500,31379,106762,51.330846,3172.58,60557,30.297659,3708.2,60557
wiki-Talk,5,30,25,2394385,5021410,17.788439,528.512,50926,95.264823,1499.68,50926
p2p-Gnutella30,5,30,2500,36682,88328,94.670768,4471.26,19977,112.532475,4705.39,19977
cit-HepTh,5,30,500,27770,352807,1458.438597,6660.33,47039,672.427562,6671.65,47039
wiki-Vote,5,30,500,8297,103689,555.825596,9260.45,54804,446.633329,9864.24,54804
web-NotreDame,5,30,25,325729,1497134,76.024893,4276.43,51799,106.918591,5277.82,51799
soc-Slashdot0811,5,30,500,77360,905468,31.167831,3716.88,41870,37.304280,5028.74,41870
amazon0505,5,30,25,410236,3356824,62.744557,3388.24,6119,13.561897,2858.19,6119
amazon0312,5,30,25,400727,3200440,158.307632,3242.94,43639,76.944707,3497.78,43639
ca-CondMat,5,30,500,23133,186936,405.712614,7150.8,30502,544.326362,6988.52,30502
roadNet-TX,5,30,25,1393383,3843320,145.206593,3381.22,11351,332.536233,2895.7,11351
ca-HepTh,5,30,2500,9877,51971,750.031755,8219.64,32776,670.691018,8611.76,32776
soc-sign-Slashdot081106,5,30,500,77357,516575,55.018958,3369.27,23044,14.438441,3573.77,23044
p2p-Gnutella24,5,30,2500,26518,65369,244.343621,5147.5,10199,264.521035,5871.2,10199
soc-sign-epinions,5,30,500,131828,841372,98.665314,2975.02,4899,32.825858,3776.06,4899
ca-HepPh,5,30,500,12008,237010,858.252908,12402.7,8094,720.948037,12481.2,8094
p2p-Gnutella04,5,30,5000,10879,39994,484.938044,8264.6,3912,434.712155,8431.96,3912
soc-Epinions1,5,30,500,75888,508837,259.133807,3032.24,29622,55.532776,3580.51,29622
ca-GrQc,5,30,5000,5242,28980,1098.461862,10822.6,27381,115.190207,11499.9,27381
p2p-Gnutella31,5,30,500,62586,147892,446.432193,3556.52,59929,595.851013,3477.96,59929
soc-sign-Slashdot090216,5,30,500,81871,545671,38.130220,3428.42,37025,122.890656,3504.8,37025
roadNet-CA,5,30,25,1971281,5533214,132.226849,3217.18,24512,28.018129,3367.51,24512
ca-AstroPh,5,30,500,18772,396160,848.171388,7589.59,24582,640.272808,11380,24582
p2p-Gnutella25,5,30,2500,22687,54705,318.506071,5434.34,41057,277.723801,5920.38,41057
Oregon-2,5,30,2500,11806,65460,205.547594,5404.34,45604,789.544436,4882.02,45604
Oregon-1,5,30,5000,11492,46818,451.487690,4718.81,37674,191.079211,4953.14,37674
p2p-Gnutella06,5,30,5000,8717,31525,612.148431,8715.01,45833,798.314713,8957.17,45833
cit-HepPh,5,30,500,34546,421578,114.190604,7538.99,3563,542.890804,6309.8,3563
amazon0601,5,30,25,403394,3387388,106.245202,3506.42,56705,34.953238,3001.79,56705
halfb,5,30,25,224617,12387821,113.141422,9024.11,23927,321.616429,8435.34,23927
shipsec1,5,30,25,140874,3568176,383.856736,8674.14,9179,117.503075,8886.67,9179
fullb,5,30,25,199187,11708077,342.067583,8699.21,62294,226.076091,9122.33,62294
thread,5,30,25,29736,4444880,200.615541,9374.88,51840,55.295324,9613.75,51840
troll,5,30,25,213453,11985111,258.431788,9143.89,3888,617.002431,7328.32,15474
crplat2,5,30,500,18010,960946,1329.884975,20288.7,61172,1033.914488,18877.5,61172
fcondp2,5,30,25,201822,11294316,262.262289,9037.44,53022,268.778658,8914.45,62436
m_t1,5,30,25,97578,9753570,201.125397,8805.87,61120,217.056760,9462.41,61120
ship_001,5,30,25,34920,3896496,327.067371,8386.76,20947,284.359413,9355.35,20947
shipsec5,5,30,25,179860,4598604,219.336543,8576.76,37029,339.267718,8720.51,37029
shipsec8,5,30,25,114919,3303553,141.613774,8789.53,44259,75.278020,8925.77,44259
x104,5,30,25,108384,8713602,232.248833,9344.56,50337,167.080677,9359.79,50337
trdheim,5,30,25,22098,1935324,822.538417,10945.1,59910,141.469678,15111.3,59910
tsyl201,5,30,25,20685,2454957,49.166660,10097.6,62316,471.612103,9846.94,62316
ship_003,5,30,25,121728,3777036,50.788625,8437.43,22458,237.105092,8825.85,22458
mark3jac100sc,5,30,500,45769,268563,241.750530,11974.2,14321,407.997534,11906.7,14321
g7jac160,5,30,500,47430,564952,937.598408,13911.1,33195,642.181830,14527.8,33195
jan99jac060,5,30,500,20614,111903,629.949184,11843.8,50277,604.103902,11863.1,50277
mark3jac060,5,30,500,27449,160723,2610.403570,9122.99,58065,1012.124401,7083.43,58065
mark3jac100,5,30,500,45769,268563,413.215123,11897.1,12518,987.219602,11607.8,12518
jan99jac100sc,5,30,500,34454,190224,829.197831,11222.8,10261,503.439011,11281.7,10261
g7jac100,5,30,500,29610,335972,177.480853,14304.5,45638,273.833222,15524.7,45638
g7jac060sc,5,30,500,17730,183325,1734.809865,13580.1,28731,808.958905,15069.8,28731
jan99jac080sc,5,30,500,27534,151063,510.892726,11922.1,5899,441.557657,12097.7,5899
jan99jac120,5,30,500,41374,229385,243.883471,11717.7,45610,2349.596007,8676.88,45610
g7jac140,5,30,500,41490,488633,1537.752582,13086.2,40477,918.140353,14660.2,40477
g7jac050sc,5,30,500,14760,145157,882.384814,14367,37494,1549.862506,14119,37494
mark3jac140,5,30,500,64089,376395,603.981249,11896.4,4013,408.631407,11934.3,4013
mark3jac040,5,30,500,18289,106803,841.384223,12585.8,37397,857.232020,12513.3,37397
mark3jac080sc,5,30,500,36609,214643,501.027361,11737.6,6519,273.406383,11854.5,6519
jan99jac060sc,5,30,500,20614,111903,722.452083,11767.4,54560,461.893221,6073.79,54560
jan99jac020sc,5,30,5000,6774,33744,2270.644978,7609.82,28484,611.895068,10140.9,28484
g7jac140sc,5,30,500,41490,488633,646.840294,13865.1,5529,615.865840,14759.3,5529
jan99jac020,5,30,5000,6774,33744,623.956280,10364.1,6405,838.439090,10001.5,6405
jan99jac100,5,30,500,34454,190224,455.971900,11626.7,27321,234.778435,11520,27321
g7jac180sc,5,30,500,53370,641290,1946.798531,11514.9,335,666.828986,14857.7,335
g7jac180,5,30,500,53370,641290,713.427036,14279.1,20822,737.892578,14781.1,20822
g7jac080,5,30,500,23670,259648,494.064462,14262,33293,678.060296,15247.6,33293
g7jac010,5,30,5000,2880,18229,552.085155,10383.6,46592,959.455364,7235.27,46592
g7jac010sc,5,30,5000,2880,18229,1452.849162,8095.73,59447,95.737030,10979.5,59447
g7jac020sc,5,30,5000,5850,42568,880.702117,12544.6,59332,940.713582,12636.5,59332
g7jac120,5,30,500,35550,412306,533.799367,13885.3,50773,354.563704,14684.3,50773
jan99jac080,5,30,500,27534,151063,474.566380,12084.8,61932,331.707984,12139.2,61932
g7jac200,5,30,500,59310,717620,868.389712,14304.7,46727,1722.711030,13419.1,46727
mark3jac120,5,30,500,54929,322483,788.991963,11685.2,11050,902.332770,11594.6,11050
mark3jac060sc,5,30,500,27449,160723,623.057292,12737.2,44765,1567.285561,11920.6,44765
g7jac040,5,30,500,11790,107383,463.443045,14301.9,12907,1093.878020,14563,12907
mark3jac120sc,5,30,500,54929,322483,421.692233,11957.3,63907,175.300232,12035.4,63907
g7jac040sc,5,30,500,11790,107383,649.575405,14423.4,39892,2189.960328,13416.1,39892
g7jac200sc,5,30,500,59310,717620,2218.341264,12200.5,14726,508.800265,14953.1,14726
mark3jac020,5,30,2500,9129,52883,883.479445,11929.3,58825,120.767012,12544.2,58825
g7jac060,5,30,500,17730,183325,646.952225,14473.5,16804,563.762762,15090.6,16804
g7jac080sc,5,30,500,23670,259648,433.175928,14265.9,41370,1582.534252,14691,41370
mark3jac140sc,5,30,500,64089,376395,484.754574,11763.4,54143,368.960336,12003.3,54143
jan99jac040sc,5,30,2500,13694,72734,1637.260153,7628.22,26717,816.487417,11513.1,26717
jan99jac120sc,5,30,500,41374,229385,372.435903,11738.2,54375,666.507757,11235.2,54375
g7jac160sc,5,30,500,47430,564952,481.829035,14263.5,56559,834.630681,14382.8,56559
mark3jac080,5,30,500,36609,214643,341.283242,11830.1,49854,133.660475,11928.6,49854
mark3jac040sc,5,30,500,18289,106803,598.374440,12587.5,19340,56.699542,12860.3,19340
mark3jac020sc,5,30,2500,9129,52883,967.686972,8014.74,31338,2520.632284,10348.7,31338
g7jac100sc,5,30,500,29610,335972,1061.479497,13972.7,49096,1340.657269,14989.3,49096
g7jac120sc,5,30,500,35550,412306,682.992072,13878.6,2615,1203.158960,14223.3,2615
g7jac020,5,30,5000,5850,42568,934.483746,12770.8,14602,655.546431,13047.6,14602
jan99jac040,5,30,2500,13694,72734,150.215232,11629.1,32934,2043.475880,7124.92,32934
t2dal_bci,5,30,5000,4257,37465,1470.532318,12539.3,7545,688.039809,14371.2,30398
flowmeter5,5,30,2500,9669,67391,619.969548,12005.9,4148,1250.747899,14931.5,20844
spiral,5,30,5000,1434,18228,97.041512,6839.84,8376,691.462896,9037.32,8376
rail_79841,5,30,500,79841,553921,759.516782,12282.1,32818,148.979984,12804.4,32818
t3dh_a,5,30,25,79171,4352105,318.389223,9088.12,22673,202.896549,9089.31,22673
piston,5,30,500,2025,100015,1755.769040,19476.4,55866,1594.649514,16610.9,19973
gyro_m,5,30,500,17361,340431,911.318203,15086.9,13048,848.326645,16711,13048
gyro_k,5,30,25,17361,1021159,1005.326772,17697.2,28490,1493.433986,19510.5,28490
gyro,5,30,25,17361,1021159,1928.507248,14248.9,28490,2821.999277,13995.4,28490
rail_20209,5,30,500,20209,139233,2266.307579,9650.9,59955,86.530120,13457.3,59955
t2dah_a,5,30,500,11445,176117,1171.656105,17580.6,861,1339.187482,13455.3,57222
flowmeter0,5,30,2500,9669,67391,943.919042,11892.9,25234,526.487813,14997.7,7384
boneS10,5,30,25,914898,40878708,238.908925,8794.83,29272,520.078174,7911.81,17218
t3dl_a,5,30,500,20360,509866,899.818835,18785,39642,1360.805091,18882,27755
filter2D,5,30,5000,1668,10750,446.315214,8543.09,41180,439.603294,8666.8,41180
chipcool1,5,30,500,20082,281150,406.949954,13324.8,39454,2370.599076,12157.7,58988
t2dah_e,5,30,500,11445,176117,2223.312519,11204.2,28859,2198.903281,12155.7,28769
gas_sensor,5,30,25,66917,1703365,196.104198,11689.6,22537,739.514907,10711.7,6987
rail_1357,5,30,25000,1357,8985,407.506236,8056.53,19181,429.489232,8223.68,19181
t3dl,5,30,500,20360,509866,506.430196,18996.2,39642,454.560115,19322.2,27755
t2dal_a,5,30,5000,4257,37465,2046.044541,10563.4,7545,2446.888827,12284.8,30398
t2dal_e,5,30,25000,4257,4257,357.065097,3538.79,12040,449.418268,6061.14,12040
LF10,5,30,500000,18,82,6.476306,169.117,36821,14.022074,221.586,63620
LFAT5000,5,30,2500,19994,79966,2388.385554,7638.63,24078,928.338438,12978.4,25358
chipcool0,5,30,500,20082,281150,1077.247242,12922.5,60848,1325.902339,14927.6,919
boneS01,5,30,25,127224,5516602,109.705416,8995.54,24162,311.174298,8943.23,24162
LFAT5,5,30,500000,14,46,3.616567,101.491,62842,5.759745,107.258,62842
t3dh,5,30,25,79171,4352105,116.371379,9094.34,22673,77.151430,9159.37,22673
t2dal,5,30,5000,4257,37465,966.093750,13278.1,7545,1037.173974,14293,30398
t3dl_e,5,30,5000,20360,20360,226.998016,5334.04,64507,1031.831482,10629.3,64507
t2dah,5,30,500,11445,176117,1188.746535,17551.9,861,439.478843,14051.9,57222
inlet,5,30,500,11730,328323,605.470459,19315,17819,1376.123936,11094.5,53646
filter3D,5,30,25,106437,2707179,59.784298,8733.92,16334,515.464442,8682.06,16334
rail_5177,5,30,5000,5177,35185,794.958825,11495.9,1528,190.518201,12335.8,1528
t3dh_e,5,30,25,79171,4352105,27.059343,9128.75,32069,92.859978,9138.71,32069
LF10000,5,30,2500,19998,99982,1105.713972,12134.2,58160,1353.027644,15822.4,33840
CurlCurl_0,5,30,500,11083,113343,1203.103744,13609.2,63181,1075.728903,15592.5,4495
CurlCurl_2,5,30,25,806529,8921789,246.420923,7485.42,47206,112.368232,6981.87,60566
CurlCurl_1,5,30,25,226451,2472071,69.012908,8350.63,64785,372.619857,7213.63,26416
CurlCurl_4,5,30,25,2380515,26515867,440.100158,7046.57,2766,275.596951,6648.5,28335
CurlCurl_3,5,30,25,1219574,13544618,259.331149,7527.99,41592,196.305116,6965.94,46629
Hamrle3,5,30,25,1447360,5514242,116.923080,4728.95,8636,154.461015,5602.75,28500
Hamrle1,5,30,500000,32,98,13.297661,207.115,10865,5.377461,220.523,10865
Hamrle2,5,30,5000,5952,22162,432.853810,8229.47,47022,281.626969,9173.59,65150
cavity18,5,30,500,4562,138040,1630.349698,18503.6,5172,74.136628,20118.8,5172
cavity26,5,30,500,4562,138040,990.648173,18947.9,12275,1374.906584,19521.5,12275
cavity10,5,30,2500,2597,76171,889.611443,17932.6,58354,974.044126,10971.3,58354
cavity08,5,30,5000,1182,29675,2060.219626,12875.9,64626,71.559837,15954.2,64626
cavity25,5,30,500,4562,131735,876.826971,18416.9,44728,1198.969555,19438.1,44728
cavity21,5,30,500,4562,131735,1336.333781,18263.7,62444,2320.579025,18225,62444
cavity04,5,30,25000,317,5923,194.618712,6964.86,4271,347.677604,7657.95,4271
cavity11,5,30,2500,2597,71601,1508.139018,16882.5,10763,359.571183,18945.2,10763
cavity06,5,30,5000,1182,29675,361.396746,14486.8,14874,696.533360,15350.8,14874
cavity22,5,30,500,4562,138040,1212.969212,18766.1,63132,1156.218179,19463,63132
cavity24,5,30,500,4562,138040,2152.597307,18111.3,18960,3087.329216,13337.4,18960
cavity12,5,30,2500,2597,76258,2108.069815,13150.5,48598,1011.442395,18634,48598
cavity03,5,30,25000,317,7311,259.048278,5381.52,3719,525.629222,5658.18,3719
cavity01,5,30,25000,317,7280,492.750991,5894.87,19452,526.711671,5621.28,19452
cavity15,5,30,2500,2597,71601,1904.120881,11612.1,5451,2151.733567,17633.2,5451
cavity07,5,30,5000,1182,32702,1052.226082,14532.4,60028,859.823836,15688.1,60028
cavity23,5,30,500,4562,131735,2188.421333,17382.3,21684,1467.760724,19367.3,21684
cavity20,5,30,500,4562,138040,1549.649643,18746.1,35946,1421.193466,19319.5,35946
cavity09,5,30,5000,1182,32702,435.485480,15107.6,53268,1175.451505,15461.6,53268
cavity16,5,30,500,4562,137887,1242.739790,18709.2,41124,1409.717021,19209.8,41124
cavity13,5,30,2500,2597,71601,1497.679424,17121.5,12161,710.346740,18586.5,12161
cavity05,5,30,5000,1182,32632,348.450728,15244.2,55791,740.056788,16168.7,55791
cavity14,5,30,2500,2597,76258,2255.465806,16653.5,59919,1504.544109,11776,59919
cavity02,5,30,25000,317,5923,405.720793,6870.1,17826,345.421428,7720.56,17826
cavity19,5,30,500,4562,131735,1429.845433,18202.2,4427,1386.816271,19517.8,4427
cavity17,5,30,500,4562,131735,2976.153653,16139.9,60307,1033.410708,19671.8,60307
Linux_call_graph,5,30,25,324085,1208908,13.084665,3315.03,39565,33.203842,3268.97,39565
raefsky6,5,30,500,3402,130371,778.519000,18058.5,48418,1359.107312,19353.6,48418
appu,5,30,25,14000,1853104,880.379326,8961.57,52441,1279.611228,10593.3,52441
venkat50,5,30,25,62424,1717777,422.612863,12374.7,21652,153.544802,12124.5,8530
raefsky2,5,30,500,3242,293551,1935.007773,19524.8,36387,301.490372,18597,63566
olafu,5,30,25,16146,1015156,1970.521267,18998.8,8277,254.775207,17130,29290
venkat01,5,30,25,62424,1717792,846.124011,9490.45,7659,124.709232,11567.5,56490
raefsky3,5,30,25,21200,1488768,1228.335063,16197.3,49869,250.488035,20896.2,17872
raefsky4,5,30,25,19779,1316789,632.330881,18319.1,15250,903.263247,19457.9,62789
raefsky1,5,30,500,3242,293409,499.260935,20598.4,16669,528.891062,18542.9,40359
raefsky5,5,30,500,6316,167178,972.823143,18532.9,18295,3594.816099,14158.8,18295
bbmat,5,30,25,38744,1771722,620.371340,11058.3,12150,198.705700,12217,12150
venkat25,5,30,25,62424,1717763,408.310627,11746.2,7162,534.123367,11177.3,37378
shyy41,5,30,5000,4720,20042,177.457356,8183.07,43007,282.832862,16055.9,7335
shyy161,5,30,500,76480,329762,1134.242544,6427.51,57641,2417.481508,18998,48757
shallow_water1,5,30,500,81920,327680,925.344061,10551.3,29408,930.521979,12959.3,31328
shallow_water2,5,30,500,81920,327680,772.053905,10669,40640,922.817453,13037.8,320
shermanACa,5,30,5000,3432,25220,184.910980,10940,24121,547.887846,9157.3,24121
e40r0100,5,30,500,17281,553562,284.769854,18682.7,31483,2705.056842,15775.3,31483
shermanACb,5,30,500,18510,145149,1339.491488,7202.54,27546,120.919817,9367.12,27546
shermanACd,5,30,2500,6136,53329,715.385811,11112.3,47541,229.977212,12867.6,47541
swang2,5,30,5000,3169,20841,962.880010,9636.63,64016,47.064702,12457.6,1164
swang1,5,30,5000,3169,20841,959.235154,9731.45,46943,1152.118217,11977.3,51175
wang1,5,30,5000,2903,19093,210.516779,10275.8,21015,614.963854,16569.2,34611
wang2,5,30,5000,2903,19093,1004.564160,9547.51,8311,568.326004,16627.1,60049
wang3,5,30,500,26064,177168,899.525781,12557.4,5449,1552.180521,23033.2,3353
wang4,5,30,500,26068,177196,418.066868,12965.4,59444,1218.308094,22352,26966
coater2,5,30,500,9540,207308,3555.508874,12183.1,5614,1924.362871,11087.9,5614
coater1,5,30,5000,1348,19457,2065.388538,10308.8,37593,574.462837,12835.1,37593
nd12k,5,30,25,36000,14220946,154.300669,8526.37,22864,714.687821,9739.08,41247
nd24k,5,30,25,72000,28715634,36.345900,9414.07,41627,252.271993,10771.4,43282
nd3k,5,30,25,9000,3279690,42.816574,9145.9,11964,126.985628,11496.3,779
nd6k,5,30,25,18000,6897316,183.075639,9083.21,315,843.092705,10176.4,42297
S80PI_n,5,30,5000,4182,10261,242.532391,6185.73,44433,706.643720,9302.62,44433
bips98_1142,5,30,5000,9735,40983,84.128913,7206.36,39268,463.307462,8016.62,39268
S40PI_n,5,30,25000,2182,5341,229.335105,4900.59,39859,319.624393,6886.06,39859
bips07_3078,5,30,2500,21128,75729,946.188583,5421.57,32879,209.783947,6717.29,32879
nopss_11k,5,30,5000,11685,44941,236.248689,6685.62,64828,501.361214,8812.29,64828
bips98_606,5,30,5000,7135,34738,332.962314,7593.42,11707,147.450301,9690.44,11707
S10PI_n,5,30,250000,682,1633,185.939039,2255.07,45458,181.910524,2365.51,45458
bips07_1693,5,30,5000,13275,49044,834.973835,6030.97,39607,450.584587,8108.18,39607
S20PI_n,5,30,25000,1182,2881,161.369664,3444.38,5493,228.877705,4376.91,5493
juba40k,5,30,500,40337,144945,229.006531,6333.15,26805,22.544844,5882.44,26805
S80PI_n1,5,30,25000,4028,9927,1048.368705,5172.13,2623,243.540530,10169.6,2623
bips07_1998,5,30,2500,15066,62198,311.331350,7062.81,46010,394.942771,7572.51,46010
bauru5727,5,30,500,40366,145019,340.368141,6266.3,36913,130.170097,5848.8,36913
bips07_2476,5,30,2500,16861,66498,130.173957,6935.76,47966,981.778605,5847.39,47966
M80PI_n1,5,30,25000,4028,9927,514.366719,5915.74,2623,499.416815,9922.9,2623
S40PI_n1,5,30,25000,2028,5007,304.862495,4796.45,44685,336.011202,6831.6,44685
M10PI_n1,5,30,250000,528,1317,148.486874,1916.33,15567,124.552368,2324.57,15567
M40PI_n,5,30,25000,2182,5341,94.942899,4945.26,39859,167.340220,6696.41,39859
S10PI_n1,5,30,250000,528,1317,125.538062,1941.49,15567,167.213308,2297.2,15567
M10PI_n,5,30,250000,682,1633,128.540499,2314.22,45458,181.029736,2300.34,45458
M80PI_n,5,30,5000,4182,10261,513.253666,3824.72,44433,382.958569,5902.27,44433
mimo28x28_system,5,30,5000,13251,48737,320.079160,6457.54,2847,412.404291,8515.35,2847
M20PI_n1,5,30,25000,1028,2547,193.896381,3259.54,37253,222.669747,4117.07,37253
M40PI_n1,5,30,25000,2028,5007,200.364425,4845.37,44685,1180.211911,6166.57,44685
