name,threads,outer,inner,N,nnz,ell_sd,ell_mflops,ell_sum,ellgs_sd,ellgs_mflops,ellgs_sum,bellgs_sd,bellgs_mflops,bellgs_sum
ash292,5,30,25000,292,2208,27.1084535004,1245.58104551,23110,51.850200565,1605.42898691,23110,46.2842486077,1637.98219585,23110
bcsstm23,5,30,25000,3134,3134,313.919241338,6621.12676056,48616,326.43291541,8594.14990859,48616,323.710201231,10153.3477322,48616
dwt_419,5,30,25000,419,3563,96.1094715166,1660.29822926,51288,111.833979662,2050.84420568,51288,105.519961746,2079.57198444,51288
will199,5,30,250000,199,701,135.094915847,1377.93211899,5142,101.871213013,1592.21683828,5142,196.418059053,1688.07192166,5142
steam2,5,30,25000,600,5660,186.543497145,2281.64471916,20053,50.8811883538,3014.91477273,20053,60.8404075202,3108.75137312,20053
west0067,5,30,250000,67,294,63.6639072266,661.268556005,32367,89.0178899636,858.812074002,32367,71.2016749355,815.3078203,32367
saylr4,5,30,5000,3564,22316,376.154307412,5940.37267081,12749,357.788271501,7951.06888361,12749,166.262873783,8986.30872483,12749
cegb2802,5,30,500,2802,277362,443.589959808,3777.05855651,36096,91.5566348673,5562.07219251,36096,181.697534413,6055.93886463,36096
nos7,5,30,25000,729,4617,123.015907675,3786.49535265,25706,227.430945333,4890.88983051,25706,181.278453914,5335.51617874,25706
str_200,5,30,25000,363,3068,80.1361635611,949.061662198,11430,178.586491889,1248.84667571,11430,143.155833617,1225.23961661,11430
dwt_992,5,30,5000,992,16744,133.017799294,4793.12977099,64232,157.227638814,6201.48148148,64232,223.589502741,6481.5483871,64232
bcsstm12,5,30,5000,1473,19659,113.550159193,3347.16231555,42723,262.814231783,4333.35782513,42723,476.970334588,4215.6540386,42723
bcsstk15,5,30,500,3948,117816,159.994391053,4514.02298851,10004,466.561509631,5646.1341853,10004,362.163411371,6521.18081181,10004
bcsstk27,5,30,2500,1224,56126,28.7389342002,4468.63057325,26979,400.12669694,5932.98097252,26979,674.763938339,6136.2244898,26979
dwt_2680,5,30,5000,2680,25026,67.7072531053,3241.70984456,42012,193.118783286,4453.02491103,42012,731.197024989,4234.5177665,42012
sherman2,5,30,5000,1080,23094,57.7365340662,2551.82320442,34410,78.2094987269,3458.91163255,34410,335.634139523,3366.47230321,34410
str_600,5,30,25000,363,3279,16.9885890094,894.598035649,1966,31.9581348464,1095.43429844,1966,53.9770889355,1079.3285056,1966
nos6,5,30,25000,675,3255,181.831400321,4834.15841584,28655,165.076650329,6188.21292776,28655,154.337699694,6501.33155792,28655
shl_400,5,30,250000,663,1712,-1,-1,-1,-1,-1,-1,-1,-1,-1
bp_0,5,30,25000,822,3276,-1,-1,-1,-1,-1,-1,-1,-1,-1
gre_216b,5,30,250000,216,812,271.615947526,1875.57745611,42936,382.885056039,2333.33333333,42936,304.617495013,2352.71392698,42936
sherman5,5,30,5000,3312,20793,35.1469406567,1993.57622244,14559,235.163808341,2369.12267376,14559,62.9774270712,2864.04958678,14559
jagmesh9,5,30,25000,1349,9101,133.707913642,5035.59572114,63776,495.150347766,6165.98915989,63776,102.572833795,6972.16547497,63776
bcspwr05,5,30,250000,443,1623,60.3635140787,1218.89550894,49437,83.5453049533,1493.46665849,49437,77.2637125417,1547.97482037,49437
can_24,5,30,250000,24,160,12.7172222983,344.728526286,7069,16.6923711832,469.208211144,7069,13.8646131232,413.009808983,7069
lshp1561,5,30,5000,1561,10681,220.184772219,5515.14629948,15934,306.921928436,7026.97368421,15934,747.34313689,7332.49427918,15934
lshp_577,5,30,25000,577,3889,269.908895172,4233.30914369,47801,317.341406473,5792.94935452,47801,321.474750959,5983.07692308,47801
fs_760_3,5,30,25000,760,5816,42.9848424876,1706.23899863,27943,108.570544168,2119.01870294,27943,66.1819829038,2274.24400417,27943
gemat12,5,30,5000,4929,33044,-1,-1,-1,-1,-1,-1,-1,-1,-1
jpwh_991,5,30,25000,991,6027,66.3100420517,1874.06716418,31447,177.708834127,2378.45303867,31447,89.3253696102,2552.3715415,31447
cegb3306,5,30,2500,3306,74916,261.80871479,2633.55987813,30066,68.7468837598,3534.88518402,30066,480.978668571,3552.76636105,30066
can_73,5,30,250000,73,377,24.1999396964,830.152671756,4200,10.0762682365,1048.9705064,4200,8.09761669999,1034.76669716,4200
bcsstk04,5,30,25000,132,3648,28.6983398381,1081.85053381,51962,38.8023047607,1501.64654226,51962,37.0456060046,1484.93894166,51962
dwt_59,5,30,250000,59,267,92.1983954997,482.355775021,48923,110.705640095,666.833166833,48923,60.7477308119,613.793103448,48923
bcsstk18,5,30,500,11948,149090,51.1443279678,1760.21251476,41746,182.10794058,2085.17482517,41746,94.480075344,2673.46084877,41746
bp_600,5,30,25000,822,4172,-1,-1,-1,-1,-1,-1,-1,-1,-1
bcsstm20,5,30,250000,485,485,505.966683919,4064.24581006,9382,622.776324987,5098.10791871,9382,438.428832191,5787.58949881,9382
bcsstk19,5,30,25000,817,6853,32.8408192307,3577.96728159,64768,304.675219481,4496.7191601,64768,143.928278403,4949.20558498,64768
west0989,5,30,25000,989,3518,33.1817595916,1473.19932998,8924,102.545915993,1858.75308207,8924,44.0944697696,2050.91333074,8924
bcsstk16,5,30,500,4884,290378,559.286677767,4739.57562568,52854,705.02009604,6574.59622642,52854,427.014075231,7962.83363803,52854
bcsstk26,5,30,5000,1922,30336,45.0362319773,2916.92307692,60232,397.55608558,3695.00609013,60232,141.323878997,4443.75,60232
fs_680_1,5,30,25000,680,2184,45.4755249116,1686.05249614,9440,157.201941869,2104.04624277,9440,85.8574420652,2370.47756874,9440
bcsstm24,5,30,25000,3562,3562,329.872677871,6695.4887218,47146,224.083806309,8759.01639344,47146,845.856026347,9592.45960503,47146
jgl011,5,30,500000,11,76,40.9390396326,320.224719101,6728,25.4526665706,290.927650887,6728,26.7049165532,250.521920668,6728
bcsstk30,5,30,25,28924,2043492,70.0291353237,2019.26086957,64033,173.515011719,2442.42071713,64033,79.3096959562,2301.22972973,64033
ash85,5,30,250000,85,523,5.37765271242,1147.43308469,49955,7.48526901272,1445.55002764,49955,31.619213589,1371.26376508,49955
shl_0,5,30,250000,663,1687,-1,-1,-1,-1,-1,-1,-1,-1,-1
fs_680_3,5,30,25000,680,2471,74.4964945378,1893.9703628,56377,157.105278252,2337.01134931,56377,125.562958322,2545.67307692,56377
dwt_869,5,30,25000,869,7285,46.461053394,2722.34678625,26320,117.936735401,3443.90167034,26320,63.2322916836,3625.58062376,26320
bcsstk07,5,30,25000,420,7860,117.73015672,2367.46987952,5110,149.030214517,2969.77329975,5110,114.913895463,3079.93730408,5110
plskz362,5,30,250000,362,880,92.794620533,1683.67346939,61494,186.879200947,2467.75098149,61494,151.434830193,2564.1025641,61494
cegb2919,5,30,500,2919,321543,62.1631136253,2616.29780309,14607,330.30842341,3103.6969112,14607,99.6580033317,3829.41246526,14607
bcsstm01,5,30,500000,48,24,5.34371669717,425.280567041,29416,24.3987558663,576.923076923,29416,7.36895761876,500.695410292,29416
lnsp_131,5,30,250000,131,536,26.3859470292,779.145266014,33061,30.1748004588,1081.5173527,33061,33.5871403612,1075.01002808,33061
watt_1,5,30,5000,1856,11360,263.123606741,5226.99386503,30800,557.359232963,5896.19377163,30800,1422.78101098,5479.09967846,30800
gre_115,5,30,250000,115,421,32.8155543415,1051.09853529,8853,40.7325310802,1395.27176315,8853,84.3221187138,1319.7492163,8853
mcfe,5,30,5000,765,24382,4.61168373176,1767.66553891,13312,112.65453438,2258.28959555,13312,37.4627518457,2383.38220919,13312
bcsstm19,5,30,250000,817,817,257.394304722,4330.38869258,42213,116.270030335,5673.61111111,42213,82.7134094799,5891.82692308,42213
bcsstm06,5,30,250000,420,420,432.460276169,4017.85714286,65049,387.002021054,6063.5226179,65049,483.405139478,6250.0,65049
1138_bus,5,30,25000,1138,4054,-1,-1,-1,-1,-1,-1,-1,-1,-1
man_5976,5,30,500,5976,225046,28.3521386778,5106.94402421,888,551.064698719,5341.28164557,888,466.952980152,7680.75085324,888
bcsstk28,5,30,500,4410,219024,136.777554071,3632.23880597,13908,69.2521101282,4817.24340176,13908,68.7869351424,5530.90909091,13908
gre_185,5,30,250000,185,975,210.946747765,1471.92028986,58809,332.861324023,1646.58860617,58809,274.009540066,1617.27302886,58809
bcsstm10,5,30,5000,1086,22092,347.335531336,3455.47445255,41777,152.497976447,5001.96226415,41777,148.734772153,5306.32506005,41777
bcsstk14,5,30,2500,1806,63454,28.0059984932,4264.38172043,62861,704.725363325,5014.80505796,62861,206.535445314,6261.90789474,62861
can_715,5,30,25000,715,6665,-1,-1,-1,-1,-1,-1,-1,-1,-1
bcspwr03,5,30,250000,118,476,116.270908356,656.914159536,12204,125.20389016,771.641629742,12204,100.233954006,723.770907248,12204
bcspwr06,5,30,25000,1454,5300,94.6755417449,1497.73926149,13815,91.6502429626,2078.9748954,13815,86.524495333,2236.28691983,13815
jagmesh6,5,30,25000,1377,8993,139.596488864,5127.13797035,49848,575.643468763,6488.45598846,49848,342.546520448,7256.32060247,49848
dwt_198,5,30,250000,198,1392,103.848134121,1307.69712532,27297,196.141125261,1500.64683053,27297,170.47075904,1405.77661079,27297
lshp2233,5,30,5000,2233,15337,171.394270555,6217.7027027,35546,269.36737227,8260.502693,35546,339.436493587,9295.15151515,35546
bcsstm21,5,30,25000,3600,3600,147.615116101,6741.57303371,31538,411.573495939,9000,31538,483.44238196,10404.6242775,31538
dwt_1007,5,30,25000,1007,8575,126.282424152,3914.33353621,19708,299.483668929,4692.63042685,19708,145.619803551,5132.68156425,19708
jagmesh3,5,30,25000,1089,7361,348.352022257,4765.42943461,46355,352.884359196,6284.29140581,46355,352.363332633,6716.24087591,46355
bp_1200,5,30,25000,822,4726,-1,-1,-1,-1,-1,-1,-1,-1,-1
dwt_607,5,30,25000,607,5131,131.041872465,2140.29477197,57747,85.6051493174,2800.76419214,57747,83.4535216571,2890.16147202,57747
impcol_c,5,30,250000,137,400,85.5295540744,480.923372876,40533,101.582187819,556.379821958,40533,83.6010414623,555.144337528,40533
bcspwr04,5,30,250000,274,1612,7.46159993112,521.199318863,62199,15.9397688435,653.001701369,62199,13.8404984897,673.031424834,62199
bcsstm26,5,30,250000,1922,1922,145.696313193,5997.50364052,23666,583.199098459,7486.36717736,23666,175.243104254,8452.06684257,23666
dwt_245,5,30,250000,245,1461,56.5173697185,1331.32859486,8815,77.0375359083,1767.7663951,8815,74.1889955988,1721.11835388,8815
nos2,5,30,25000,957,4137,140.332544051,4480.50541516,3472,175.885008676,5724.63099631,3472,185.948736213,6054.14634146,3472
nos1,5,30,250000,237,1017,88.9344527262,2344.75868429,15634,174.958417531,3335.15522519,15634,156.510911392,3398.3069726,15634
bcsstk24,5,30,500,3562,159910,199.456924044,5152.84640172,8886,326.448733224,6766.29055007,8886,356.785723735,7426.16099071,8886
bcsstk22,5,30,250000,138,696,73.1521595231,1449.39608496,7091,80.9254964369,1875.67373338,7091,95.812299081,1873.99030695,7091
can_292,5,30,25000,292,2540,14.0273654537,587.69088385,22229,22.7466275596,771.567436209,22229,20.0252364517,796.737766625,22229
bcsstm09,5,30,250000,1083,1083,109.32647952,4716.8989547,39874,322.77459425,6007.76627219,39874,236.507811681,6451.54884829,39874
bcsstk13,5,30,2500,2003,83883,270.41816981,2536.78427419,48543,39.2417855365,3526.47141256,48543,196.854787335,3710.5426128,48543
fs_680_2,5,30,25000,680,2424,105.315694021,2003.30578512,51068,116.105624805,2735.89164786,51068,88.3922247702,2946.51539708,51068
plat362,5,30,25000,362,5786,274.365011559,2254.28571429,49858,391.951354168,2884.34695912,49858,540.236667227,3111.86805307,49858
lnsp3937,5,30,5000,3937,25407,49.1669583288,4011.63157895,50910,970.220922735,4034.99205929,50910,273.060659833,5978.11764706,50910
plsk1919,5,30,25000,1919,4831,75.2839210043,2521.39874739,44362,230.47481009,3091.51023891,44362,95.6211660002,3665.40212443,44362
nos5,5,30,25000,468,5172,34.2758091524,1432.15802104,62421,42.8572260781,1844.06940813,62421,63.3718654469,1880.27144935,62421
saylr1,5,30,250000,238,1128,155.674494498,2506.66666667,41968,257.531311563,3036.61162958,41968,239.591518487,3203.33207119,41968
mahindas,5,30,25000,1258,7682,-1,-1,-1,-1,-1,-1,-1,-1,-1
bcsstk29,5,30,500,13992,619488,125.064645958,4390.41814316,51427,510.301001035,5415.1048951,51427,242.464043063,6632.63383298,51427
gent113,5,30,250000,113,655,9.6281894073,521.220159151,41873,15.3499088432,722.426470588,41873,15.8710885757,705.616202241,41873
bcsstk03,5,30,250000,112,640,15.8481664916,1759.85334555,12024,103.40926568,2438.40487681,12024,44.7856059348,2471.67868177,12024
west0132,5,30,250000,132,413,71.2996758196,389.377749843,15925,79.0828601816,528.989838613,15925,75.6410033338,526.114649682,15925
dwt_87,5,30,250000,87,541,30.4438764146,867.450561197,10698,32.5097089638,1106.3394683,10698,24.1206126528,1053.34890966,10698
bcsstm08,5,30,250000,1074,1074,215.780074416,4791.79060083,19174,246.797607671,6597.05159705,19174,357.715466751,6946.95989651,19174
gre_512,5,30,250000,512,1976,319.892235695,3898.97395422,25143,459.486502946,5190.89316988,25143,419.486664984,5364.70588235,25143
west0381,5,30,25000,381,2134,34.3362760345,849.071618037,3246,99.6005752055,1189.07875186,3246,81.0355551491,1214.80075901,3246
bcsstm11,5,30,250000,1473,1473,419.888227,5351.17461855,21117,140.514745017,7464.52702703,21117,709.088244217,7611.09197382,21117
bcsstk32,5,30,25,44609,2014701,44.2454732802,1313.93543478,37649,62.3988715387,1647.79252999,37649,153.418576777,1409.5389459,37649
dwt_193,5,30,25000,193,3493,147.428732948,1307.9131303,25930,132.403186055,1598.87091852,25930,132.973388742,1573.89606488,25930
impcol_e,5,30,250000,225,1303,100.009105988,1267.6741471,52459,124.901084,1480.56965381,52459,161.157492743,1498.61984358,52459
dwt_310,5,30,25000,310,2448,246.369516942,2002.18102508,51991,416.834255235,2798.7804878,51991,326.813002704,2541.17647059,51991
fs_541_2,5,30,25000,541,4282,101.399309483,3407.4270557,2597,178.699060732,4667.87790698,2597,136.207772397,5017.96875,2597
saylr3,5,30,25000,1000,3750,195.271382204,2469.27129061,24729,99.8321103305,3624.3556701,24729,116.3557458,3858.02469136,24729
bcsstk01,5,30,250000,48,400,33.2161448207,611.496127191,44264,27.7156522675,838.457238681,44264,33.1849603052,787.401574803,44264
bcsstk10,5,30,5000,1086,22070,114.632259335,3802.9867892,18042,137.53311479,5140.52795031,18042,289.644050566,5374.18831169,18042
dwt_162,5,30,250000,162,1182,97.719820606,1572.50554324,39645,128.090601854,2096.73604541,39645,138.505157523,2065.95199254,39645
mbeause,5,30,5000,496,41063,-1,-1,-1,-1,-1,-1,-1,-1,-1
steam3,5,30,250000,80,314,19.8422095365,978.396343997,13566,38.8232524687,1166.99702676,13566,5.5346807315,1129.49640288,13566
pores_3,5,30,25000,532,3474,154.645991518,2323.22781988,50281,141.904714621,3399.21722114,50281,180.848827544,3366.27906977,50281
bcsstk17,5,30,500,10974,428650,127.768025794,1653.31704808,17888,215.311717441,2114.00624692,17888,59.9532240408,2426.32075472,17888
bcsstm03,5,30,500000,112,72,159.143678847,723.133578842,31476,147.792127274,1302.77442702,31476,253.421021513,906.420478389,31476
shl_200,5,30,250000,663,1726,-1,-1,-1,-1,-1,-1,-1,-1,-1
dwt_758,5,30,25000,758,5994,70.5280474873,3010.04352193,7843,99.943532725,4101.73357664,7843,264.804820719,3996.0,7843
west2021,5,30,25000,2021,7310,96.0704853409,1775.70850202,57907,66.5162572023,2425.88495575,57907,192.261928691,2521.84912603,57907
gre_343,5,30,250000,343,1310,141.077855667,2537.44834711,46027,228.507176754,3338.99745115,46027,236.750655628,3329.94407728,46027
bp_200,5,30,25000,822,3802,-1,-1,-1,-1,-1,-1,-1,-1,-1
dwt_209,5,30,250000,209,1743,87.2123427238,1165.57442825,32291,108.039788642,1341.45715752,32291,141.07149587,1305.16174121,32291
dwt_66,5,30,250000,66,320,59.1935244101,924.855491329,14422,84.3506370336,1221.3740458,14422,77.0050270812,1154.67885494,14422
impcol_a,5,30,250000,207,572,91.8532094867,846.989141165,15481,120.202031888,970.478452664,15481,111.731631075,948.485518461,15481
bcsstk25,5,30,500,15439,252241,37.9694484703,1991.90050013,46865,285.664759813,2383.37952756,46865,181.468480171,2857.7152568,46865
rgg010,5,30,500000,10,76,25.0612909645,433.955081842,43839,19.4313280319,373.647984267,43839,25.5601637228,358.377868595,43839
dwt_512,5,30,25000,512,3502,44.2480924563,1668.14861861,33726,96.2467315723,2320.22968198,33726,125.189148266,2371.55756208,33726
dwt_1005,5,30,25000,1005,8621,40.7074475121,1450.37012113,4146,98.7643405568,1803.30497839,4146,105.295684978,1898.89867841,4146
dwt_918,5,30,25000,918,7384,180.363291675,2644.06779661,46387,137.961756433,3511.73113507,46387,118.955923119,3644.61994077,46387
lshp3025,5,30,5000,3025,20833,225.951268949,6655.91054313,20186,166.92686784,8954.01146132,20186,168.638045243,9983.8658147,20186
zenios,5,30,250000,2873,1314,-1,-1,-1,-1,-1,-1,-1,-1,-1
lns_511,5,30,25000,511,2796,110.417300976,2254.83870968,1183,258.847401026,2681.58567775,1183,98.9622602613,3097.48892171,1183
nos4,5,30,250000,100,594,44.229642702,1572.81553398,41499,14.10412375,2004.95049505,41499,56.2131639793,1945.41484716,41499
bcspwr01,5,30,250000,39,131,11.0767690296,299.04124182,48651,13.3353752678,386.354699174,48651,11.9628406643,364.293659622,48651
west1505,5,30,25000,1505,5414,108.128547615,1593.91560353,23414,81.8195060512,2034.82836382,23414,59.3980155323,2276.06502242,23414
lshp_265,5,30,250000,265,1753,233.723809936,2183.60737419,5818,376.605686387,2525.69397752,5818,388.509719994,2439.69196511,5818
orsirr_2,5,30,25000,886,5970,47.1522995448,2031.53357532,37206,120.367903061,2584.41558442,37206,72.5047911174,2766.45041705,37206
orsreg_1,5,30,5000,2205,14133,429.46665189,5394.27480916,44503,634.227354139,6198.68421053,44503,503.551671252,7851.66666667,44503
lock3491,5,30,500,3491,160444,89.1494106013,2724.00679117,37522,148.813862334,3663.10502283,37522,87.9724526583,4082.54452926,37522
can_256,5,30,25000,256,2916,-1,-1,-1,-1,-1,-1,-1,-1,-1
bcsstk02,5,30,25000,66,4356,13.3617769333,1509.70425139,52078,62.7229293328,1854.1430193,52078,13.450099518,1748.92933619,52078
ibm32,5,30,250000,32,126,19.121595263,275.34965035,34164,12.3741870851,429.643100705,34164,22.2029333839,394.160583942,34164
sherman4,5,30,25000,1104,3786,57.7031766639,2454.19187554,11035,78.162798358,3313.30221704,11035,72.6372285209,3518.58736059,11035
orani678,5,30,2500,2529,90158,-1,-1,-1,-1,-1,-1,-1,-1,-1
lap_25,5,30,250000,25,169,29.2646746255,685.691100893,22009,4.49969063357,927.891654466,22009,16.9688173287,690.171521917,22009
can_1054,5,30,5000,1054,12196,22.3402531323,1672.21206581,51284,129.394655406,2138.39859731,51284,47.0922499008,2372.76264591,51284
bcsstm13,5,30,5000,2003,21181,-1,-1,-1,-1,-1,-1,-1,-1,-1
west0156,5,30,250000,156,362,87.0024544653,526.060840922,8762,84.1460216675,574.056454171,8762,89.7054380717,543.543543544,8762
jagmesh5,5,30,25000,1180,7750,134.15448057,4657.45192308,12576,387.962416629,6394.38943894,12576,269.548908984,6952.75119617,12576
dwt_503,5,30,25000,503,6027,171.538091528,1996.13601236,24452,188.984430636,2869.08917804,24452,161.089935062,2967.99080762,24452
nnc666,5,30,25000,666,4032,42.5496551389,1414.73684211,28073,89.1804725478,1788.81987578,28073,76.3206173352,1884.69928327,28073
bcsstk33,5,30,500,8738,591904,341.201365115,3079.62539022,51097,345.987015655,4098.11216247,51097,151.670354409,4800.51905921,51097
blckhole,5,30,5000,2132,14872,53.735899178,2226.34730539,30280,244.251595802,2713.86861314,30280,100.904598019,3230.70238957,30280
lund_b,5,30,25000,147,2441,316.93705991,1309.08115838,28129,298.460451658,1486.60170524,28129,282.303932918,1495.10004083,28129
bcsstm04,5,30,500000,132,66,215.511196927,450.0,13409,295.635766167,688.456189152,13409,294.691672137,591.397849462,13409
bcsstm22,5,30,250000,138,138,197.61118115,1755.72519084,14712,238.823067972,1929.17054986,14712,244.963508022,2015.57935735,14712
gre_216a,5,30,250000,216,812,249.948787661,1835.71966843,12439,293.86807038,2212.1322194,12439,325.50581474,2224.65753425,12439
lock_700,5,30,5000,700,22175,27.7098161901,2288.44169247,45886,96.1422534165,3151.35007106,45886,186.721921279,3075.58945908,45886
str_0,5,30,25000,363,2454,-1,-1,-1,-1,-1,-1,-1,-1,-1
bcsstk05,5,30,25000,153,2423,204.074341459,1287.00424929,46936,195.923063836,1547.2541507,46936,276.251075153,1510.59850374,46936
impcol_b,5,30,250000,59,271,94.5618891375,415.007656968,62486,67.2684122957,573.585438126,62486,88.0565189611,593.690667446,62486
dwt_361,5,30,25000,361,2953,67.0179266348,3266.59292035,41290,189.35816354,4067.49311295,41290,134.755585084,4677.40232313,41290
lock2232,5,30,2500,2232,80352,121.331406145,4784.7558555,8556,46.7223568131,6130.62054934,8556,773.089264856,6029.41470735,8556
bcsstk31,5,30,25,35588,1181416,-1,-1,-1,-1,-1,-1,-1,-1,-1
lns_3937,5,30,5000,3937,25407,105.838602058,4020.09493671,9904,506.377223289,5021.14624506,9904,639.18294504,5596.25550661,9904
plat1919,5,30,5000,1919,32399,271.873166226,5296.83923706,19529,399.295155025,6840.04222379,19529,275.876994959,7641.27358491,19529
lns_131,5,30,250000,131,536,23.7924109007,785.69334506,22281,50.484577543,1158.83539925,22281,39.613167066,1125.73508821,22281
662_bus,5,30,25000,662,2474,24.692281566,1291.23173278,3807,66.2455737034,1602.33160622,3807,53.9292537275,1740.61913696,3807
arc130,5,30,250000,130,1037,17.8082929685,472.580890172,39765,20.8545309385,711.053208996,39765,24.2472411798,701.465614431,39765
fs_183_6,5,30,250000,183,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1
bcspwr07,5,30,25000,1612,5824,23.944582984,1555.27861848,24231,152.467366988,1990.43062201,24231,53.1157383127,2270.86041071,24231
bcsstm02,5,30,500000,66,66,228.240961257,328.140536957,50875,234.739930671,704.877180491,50875,178.811328203,583.898554999,50875
can_268,5,30,25000,268,3082,62.0402758696,871.770695833,33671,85.5206096715,1152.86783042,33671,76.1928997487,1134.75699558,33671
bcsstm05,5,30,250000,153,153,232.827460566,1773.57032457,23605,218.376909037,2459.80707395,23605,187.506672778,2272.27722772,23605
lshp1882,5,30,5000,1882,12904,251.168385564,5743.62017804,26225,487.841883993,7916.56441718,26225,613.834756028,8452.40174672,26225
dwt_221,5,30,250000,221,1629,57.1266740336,1632.15550063,32777,124.14981277,2210.51203184,32777,54.062018308,2115.21814404,32777
bcsstk23,5,30,5000,3134,45178,287.890618729,2866.62436548,6208,67.5718052702,4206.51769088,6208,667.276066803,4157.48466258,6208
west0167,5,30,250000,167,506,25.1189946749,768.451959097,19260,22.8706645999,1022.08456773,19260,47.2233336897,1047.04097117,19260
bp_400,5,30,25000,822,4028,-1,-1,-1,-1,-1,-1,-1,-1,-1
sherman1,5,30,25000,1000,3750,257.670208481,2406.93196406,64426,157.762889935,3636.06981254,64426,168.478024406,3855.38039753,64426
can_61,5,30,250000,61,557,12.6225145453,535.336707887,40408,14.3905164157,722.62584328,40408,10.0399513207,645.672333849,40408
gre_1107,5,30,25000,1107,5664,143.222906244,3556.29970699,53383,248.182910779,4514.34643996,53383,196.070930116,4865.97938144,53383
jagmesh8,5,30,25000,1141,7465,206.609059373,4621.33718531,43045,304.62103393,5893.42105263,43045,375.13984164,6461.33871898,43045
fs_760_2,5,30,25000,760,5739,26.1389119146,1527.95527157,23608,100.166662729,2094.52554745,23608,58.7574199168,2243.54964816,23608
psmigr_2,5,30,500,3140,540022,-1,-1,-1,-1,-1,-1,-1,-1,-1
dwt_592,5,30,25000,592,5104,59.8044119318,1999.47767041,55254,156.509685885,2444.44444444,55254,123.028863999,2536.77932406,55254
sherman3,5,30,5000,5005,20033,350.499504185,3806.14312856,43492,546.919581223,4724.76415094,43492,541.634172959,5653.7158984,43492
can_1072,5,30,5000,1072,12444,22.16780555,1625.25032651,17210,70.5846399888,2230.10752688,17210,198.866390334,2232.77511962,17210
str_400,5,30,25000,363,3157,34.1120304914,796.016137166,48843,63.1694355169,1033.50065474,48843,60.4265123268,1030.12834457,48843
eris1176,5,30,5000,1176,18552,-1,-1,-1,-1,-1,-1,-1,-1,-1
young3c,5,30,25000,841,3988,120.945632543,2805.81613508,14787,146.343386771,3567.08407871,14787,177.919655856,3741.08818011,14787
steam1,5,30,25000,240,2248,44.4437376161,994.983771024,51167,62.6192176214,1278.7258248,51167,55.5630372195,1282.12927757,51167
can_161,5,30,250000,161,1377,55.6963939251,1119.02698017,4837,109.676996601,1563.58819076,4837,94.8782324672,1583.60806563,4837
685_bus,5,30,25000,685,3249,41.9514911582,1736.81397006,61895,42.0571112349,2298.82075472,61895,234.738712139,2191.32194245,61895
fs_541_3,5,30,25000,541,4282,143.824414668,3398.41269841,20483,140.203367026,4708.94428152,20483,149.015649239,5029.75724354,20483
curtis54,5,30,250000,54,291,38.4455737169,410.205807725,37760,77.1611183129,651.492537313,37760,57.7514858009,564.172159752,37760
jagmesh1,5,30,25000,936,6264,165.451010189,4000.0,14203,289.811230872,4835.82089552,14203,282.899800702,5293.52112676,14203
bcsstm25,5,30,5000,15439,15439,222.909537607,7125.69230769,44119,446.916631063,8673.59550562,44119,552.806429607,10112.8820961,44119
bcsstk11,5,30,5000,1473,34241,418.843914294,3463.3513149,17460,116.887864984,4891.57142857,17460,147.470039632,5224.97456765,17460
bcsstm27,5,30,2500,1224,56126,490.05359908,3997.57834758,11227,98.5218734275,6052.40833932,11227,356.357634004,6426.64122137,11227
lnsp_511,5,30,25000,511,2796,117.966167228,2253.62708221,49411,391.634702698,2723.37662338,49411,102.212843764,2939.03293623,49411
lund_a,5,30,25000,147,2449,204.217891417,1333.87799564,49105,356.17307844,1625.44247788,49105,346.093954811,1475.30120482,49105
bcsstk08,5,30,5000,1074,12960,-1,-1,-1,-1,-1,-1,-1,-1,-1
sstmodel,5,30,5000,3345,22749,92.5789357434,2540.84139985,42492,309.702702922,3282.68398268,42492,141.444336798,3810.55276382,42492
cegb3024,5,30,2500,3024,79848,255.891490148,2368.43978643,58383,86.0166856185,3355.89801065,58383,434.08870742,3414.25313569,58383
bcspwr09,5,30,25000,1723,6511,91.3029600394,1373.62869198,4211,79.3966214357,1822.10820896,4211,54.7797621708,1958.39181873,4211
can_634,5,30,25000,634,7228,84.6608614867,1637.02249736,30587,55.3005156478,2122.96847464,30587,61.1532971555,2180.61142397,30587
dwt_346,5,30,25000,346,3226,23.4217689604,1147.22617354,20952,56.8752749884,1489.83990148,20952,59.010357324,1538.6327504,20952
dwt_307,5,30,25000,307,2523,138.680256054,2300.60790274,61859,133.385730002,2869.21910538,61859,274.793536198,2933.72093023,61859
mcca,5,30,25000,180,2659,24.7353645864,557.676174497,43520,18.6994334033,826.974911881,43520,18.2758140719,827.833125778,43520
hor_131,5,30,25000,434,4182,16.4666166693,790.7475104,44307,27.8651233667,1078.76182287,44307,29.6794698195,1109.28381963,44307
dwt_492,5,30,25000,492,3156,50.0905145091,1797.26651481,33028,69.5932651437,2235.12747875,33028,90.946741744,2313.7829912,33028
pores_2,5,30,25000,1224,9613,105.492537696,2502.08224883,19575,126.673294473,3297.39309399,19575,226.01404865,3405.64478035,19575
west0655,5,30,25000,655,2808,23.4782525482,1463.00798889,56223,136.331402077,1866.19406292,56223,61.668639651,2037.73584906,56223
lshp3466,5,30,5000,3466,23896,233.037617937,6464.20198377,55995,182.077816564,8626.71480144,55995,805.904090992,9179.00128041,55995
