name,threads,outer,inner,N,nnz,ell_sd,ell_mflops,ell_sum,ellgs_sd,ellgs_mflops,ellgs_sum,bellgs_sd,bellgs_mflops,bellgs_sum
c-62ghs,5,30,500,41731,559339,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-63,5,30,500,44234,434704,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-71,5,30,500,76638,859520,-1,-1,-1,-1,-1,-1,-1,-1,-1
sit100,5,30,2500,10262,61046,128.677825749,4288.94613583,1315,178.132014524,5586.88224527,1315,307.044084491,6466.73728814,1315
olesnik0,5,30,500,88263,744216,148.837134135,5364.36328688,34224,204.904707829,6940.15542431,34224,937.517212388,7397.77335984,34224
aug3dcqp,5,30,500,35543,128115,85.1868210135,2885.47297297,41655,110.469938718,3632.75047259,41655,164.581372108,4328.20945946,41655
helm2d03,5,30,25,392257,2741935,350.461715123,3614.14982425,31631,152.138912288,4705.83810069,31631,188.236128275,4754.80057803,31631
dtoc,5,30,2500,24993,69972,334.209064134,4943.85303815,14958,262.762947837,6715.16314779,14958,277.425365893,7763.16568047,14958
cvxqp3,5,30,500,17500,114962,88.7095115988,2750.28708134,2420,132.610116751,3696.52733119,2420,63.4019343355,4236.92874693,2420
exdata_1,5,30,25,6001,2269500,75.7582583728,1504.30844012,50609,112.775593585,1774.89572471,50609,64.4709034082,1547.38636364,50609
helm3d01,5,30,500,32226,428444,59.1076115166,2440.34934498,7229,324.734543706,2924.53242321,7229,65.7249492592,3403.05003971,7229
ncvxqp5,5,30,500,62500,424966,450.577257789,3340.05239717,48462,192.460558742,4907.22863741,48462,310.148323745,5499.99137187,48462
c-68,5,30,500,64810,565996,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-69,5,30,500,67458,623914,-1,-1,-1,-1,-1,-1,-1,-1,-1
ncvxqp7,5,30,500,87500,574962,18.8114456542,2537.34333628,32834,208.836718677,3133.30790191,32834,95.9652660846,3581.57392027,32834
spmsrtls,5,30,500,29995,229947,340.429908125,6836.87809713,45366,215.360962766,9100.80474934,45366,727.642659413,10235.0296736,45366
ncvxqp3,5,30,500,75000,499964,288.074824139,2796.74063024,26712,84.1940109631,3918.21316614,26712,116.287290392,4280.51369863,26712
bratu3d,5,30,500,27792,173796,158.335428339,6397.39877301,1374,297.177909403,8315.59808612,1374,1049.52806228,8867.14285714,1374
c-70,5,30,500,68924,658986,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-59,5,30,500,41282,480536,-1,-1,-1,-1,-1,-1,-1,-1,-1
darcy003,5,30,25,389874,2097566,262.5682972,3480.47455752,13672,486.242114633,3567.28911565,13672,87.5416199733,3932.93625,13672
stokes64,5,30,500,12546,140034,303.173444741,6079.62373372,37262,220.61299351,8063.378119,37262,119.708000821,9356.39198218,37262
boyd1,5,30,25,93279,1211231,-1,-1,-1,-1,-1,-1,-1,-1,-1
blockqp1,5,30,500,60012,640033,-1,-1,-1,-1,-1,-1,-1,-1,-1
ncvxqp9,5,30,2500,16554,54040,310.082062584,2393.2683791,57638,72.4150726628,3478.96995708,57638,108.10644622,3952.21843003,57638
dawson5,5,30,25,51537,1010777,94.4266996985,3848.1357868,51312,385.306493504,4608.40577508,51312,280.535503473,5338.61091549,51312
a0nsdsil,5,30,500,80016,355034,-1,-1,-1,-1,-1,-1,-1,-1,-1
bloweya,5,30,500,30004,150009,-1,-1,-1,-1,-1,-1,-1,-1,-1
cont-201,5,30,500,80595,438795,273.333697911,6446.54750245,2733,142.979229782,8592.59138381,2733,274.434233588,9715.01845018,2733
c-55,5,30,500,32780,403450,-1,-1,-1,-1,-1,-1,-1,-1,-1
aug2dc,5,30,2500,30200,80000,160.466393004,4798.08076769,30600,190.061761228,6571.7415115,30600,111.58219959,7702.18228498,30600
copter2,5,30,500,55476,759952,88.6880971134,1861.71484566,959,131.463614173,2296.85271005,959,165.735767958,2456.74137931,959
stokes128,5,30,500,49666,558594,219.469591538,6222.73301151,53243,826.831467156,7362.83831283,53243,369.502000405,9494.51558074,53243
bmw3_2,5,30,25,227362,11288630,-1,-1,-1,-1,-1,-1,-1,-1,-1
qpband,5,30,5000,20000,45000,149.201174262,5430.41029767,7475,1102.53891918,6164.38356164,7475,344.914074381,8555.13307985,7475
stokes64s,5,30,500,12546,140034,406.193465755,5958.89361702,35901,228.397791183,8017.21374046,35901,730.078017418,9015.06437768,35901
ncvxqp1,5,30,2500,12111,73963,360.599224523,2613.5335689,41383,89.4086958115,3745.59419311,41383,113.620499844,4337.15793589,41383
sparsine,5,30,25,50000,1548988,496.175958787,2511.87243243,7082,259.364411701,3778.0195122,7082,69.2944430098,4047.87804878,7082
std1_Jac3,5,30,25,21982,1455374,-1,-1,-1,-1,-1,-1,-1,-1,-1
Zd_Jac2,5,30,25,22835,1642407,-1,-1,-1,-1,-1,-1,-1,-1,-1
std1_Jac2,5,30,25,21982,1248213,-1,-1,-1,-1,-1,-1,-1,-1,-1
std1_Jac3_db,5,30,500,21982,531826,-1,-1,-1,-1,-1,-1,-1,-1,-1
Zd_Jac6,5,30,25,22835,1711557,-1,-1,-1,-1,-1,-1,-1,-1,-1
Zd_Jac3_db,5,30,500,22835,713907,-1,-1,-1,-1,-1,-1,-1,-1,-1
Zd_Jac2_db,5,30,500,22835,676439,-1,-1,-1,-1,-1,-1,-1,-1,-1
Zd_Jac3,5,30,25,22835,1915726,-1,-1,-1,-1,-1,-1,-1,-1,-1
Zd_Jac6_db,5,30,500,22835,663643,-1,-1,-1,-1,-1,-1,-1,-1,-1
std1_Jac2_db,5,30,500,21982,498771,-1,-1,-1,-1,-1,-1,-1,-1,-1
garon2,5,30,500,13535,373235,153.541617099,4316.51888975,34228,127.327923463,5698.24427481,34228,277.735875582,6405.63501144,34228
garon1,5,30,2500,3175,84723,409.433763177,3542.91887371,33719,129.527940081,4968.11962471,33719,132.46856067,5451.93050193,33719
s1rmt3m1,5,30,500,5489,217651,908.651907178,5824.73684211,30395,989.068480584,7610.17482517,30395,722.058373404,9833.62951807,30395
s2rmt3m1,5,30,500,5489,217681,290.026129242,6459.3768546,61087,185.256183404,8765.67785235,61087,679.607572062,9939.7716895,61087
s2rmq4m1,5,30,500,5489,263351,230.429603218,6133.95186335,33282,342.563211283,8070,33282,1241.80839463,6589.26605505,33282
s1rmq4m1,5,30,500,5489,262411,316.799880588,6023.20581484,11123,289.98152624,8074.18461538,11123,415.539473299,9496.1761158,11123
s3rmt3m3,5,30,500,5357,207123,232.773493464,5567.82258065,14660,305.809526124,7208.45707657,14660,1357.79776218,7166.88581315,14660
s3rmq4m1,5,30,500,5489,262943,213.772858272,6100.76566125,50692,293.04713392,8107.18396711,50692,468.727492198,9481.11778846,50692
s3rmt3m1,5,30,500,5489,217669,324.288075643,6459.02077151,22130,748.204031332,8329.17091837,22130,672.929805088,9775.55389222,22130
bibd_81_2,5,30,25000,3240,3240,1112.19776221,5067.77893639,11401,306.928684048,9101.12359551,11401,325.263944143,10210.0840336,11401
xenon1,5,30,25,48600,1181120,327.806923717,6194.68531469,0,575.389743592,7874.13333333,0,671.7293114,8727.48768473,0
xenon2,5,30,25,157464,3866688,255.200910451,5440.93058161,0,118.003240298,6799.56858148,0,0,7160.53333333,0
ckt11752_tr_0,5,30,500,49702,332807,-1,-1,-1,-1,-1,-1,-1,-1,-1
trans5,5,30,500,116835,749800,-1,-1,-1,-1,-1,-1,-1,-1,-1
trans4,5,30,500,116835,749800,-1,-1,-1,-1,-1,-1,-1,-1,-1
dc2,5,30,500,116835,766396,-1,-1,-1,-1,-1,-1,-1,-1,-1
ckt11752_dc_1,5,30,500,49702,333029,-1,-1,-1,-1,-1,-1,-1,-1,-1
dc1,5,30,500,116835,766396,-1,-1,-1,-1,-1,-1,-1,-1,-1
dc3,5,30,500,116835,766396,-1,-1,-1,-1,-1,-1,-1,-1,-1
majorbasis,5,30,25,160000,1750416,236.673699396,6177.93882353,34537,756.549384074,7273.1966759,34537,550.687116891,8256.67924528,34537
largebasis,5,30,25,440020,5240084,248.583455945,5365.27372014,64400,468.629915876,6512.11764706,64400,426.003800961,6638.61993243,64400
crashbasis,5,30,25,160000,1750416,512.427668313,5001.18857143,33147,830.4528124,6063.79676674,33147,846.631790539,7956.43636364,33147
lshp_778,5,30,25000,778,5272,210.07779325,3979.86914947,51592,299.035313988,5182.17562254,51592,311.383331917,5318.09011432,51592
