name,num_workers,outer,inner,N,nnz,nlevels,sd,mflops,sum
c-72,5,30,2500,84064,395805,2,12.6940738686,3808.3787857,2666
brainpc2,5,30,2500,27607,110401,2,22.9485421211,4936.83986371,27272
a5esindl,5,30,2500,60008,170008,3,63.9152816429,4119.38014908,39105
dixmaanl,5,30,100,60000,179999,60000,0.146847550474,34.1255829826,None
aug3d,5,30,12500,24300,59292,2,14.5539708798,4236.84841222,11595
a2nnsnsl,5,30,2500,80016,231123,3,12.0174767024,4390.08422665,35879
laser,5,30,125000,3002,7002,2,4.96030870212,2888.16940847,31685
boyd2,5,30,625,466316,1076622,2,4.8297341456,3564.33400947,35572
aug2d,5,30,12500,29008,67424,2,7.35587545495,4162.12248322,27329
bloweybq,5,30,1000,10001,30000,10001,0.0496828026478,24.1657805703,None
mario001,5,30,2500,38434,129325,25,7.95884982044,3217.02376315,39041
d_pretok,5,30,2500,182730,938986,580,1.3097962531,2728.80368296,None
bloweybl,5,30,12500,30003,80002,2,3.68305617734,3546.51353121,38769
mario002,5,30,125,389874,1321593,31,13.9571924082,2768.65006553,59454
turon_m,5,30,2500,189924,968455,864,2.52286736939,2615.71839253,63277
c-62ghs,5,30,2500,41731,300535,2,4.59969660986,3432.65076508,9357
c-63,5,30,2500,44234,239469,2,4.87795191013,3610.09854944,21694
c-71,5,30,2500,76638,468079,2,2.90964203714,3334.05740884,41647
sit100,5,30,5000,10262,37214,111,2.18748664124,1186.20902144,18535
olesnik0,5,30,500,88263,429856,842,2.68232610415,1668.59913482,None
aug3dcqp,5,30,12500,35543,85829,2,6.33016861605,4184.89177667,27023
helm2d03,5,30,125,392257,1567096,9,20.4405269242,4517.68728032,28134
dtoc,5,30,12500,24993,59979,2,7.55188412756,4276.16174352,53039
cvxqp3,5,30,12500,17500,69981,23,2.65210771943,2815.30468367,None
exdata_1,5,30,5,6001,1137751,1501,66.7470162736,1378.23947368,62619
helm3d01,5,30,2500,32226,230335,26,5.75787057712,3814.94716847,11153
ncvxqp5,5,30,2500,62500,249983,25,7.28882177648,3781.25504207,None
c-68,5,30,2500,64810,315403,2,4.19384123214,3403.60006414,29034
c-69,5,30,2500,67458,345686,2,5.24663492247,4160.53614297,47380
ncvxqp7,5,30,2500,87500,349981,25,9.89307848219,3719.1037163,None
spmsrtls,5,30,100,29995,129971,29995,0.191796884394,38.0769995032,None
ncvxqp3,5,30,2500,75000,299982,25,6.01332442354,3638.84473198,None
bratu3d,5,30,2500,27792,112961,2,26.7102977051,5307.05357143,12973
c-70,5,30,2500,68924,363955,2,4.03603054764,3807.40697943,53771
c-59,5,30,2500,41282,260909,2,9.4961243423,3430.43974872,25112
darcy003,5,30,125,389874,1321593,31,10.5642481786,2737.25947522,59454
stokes64,5,30,2500,12546,78338,194,3.0509421768,1614.11826191,47462
boyd1,5,30,2500,93279,652264,2,1.39428660745,2761.87750821,24835
blockqp1,5,30,2500,60012,360023,3,5.71353439179,4717.67368722,51122
ncvxqp9,5,30,25000,16554,39047,2,7.46802800778,3889.35704053,53518
dawson5,5,30,500,51537,531157,1530,1.58968817214,1424.03071288,9473
