viscoplastic2,5,30,500,32769,381326,101.907533212,4378.02525832,28740,471.333329782,3832.42211055,28740
c-65,5,30,500,48066,360428,110.944474006,4337.28038508,53594,136.296391367,4223.765625,53594
c-37,5,30,2500,8204,74676,228.100106423,4377.25674091,65252,167.798808819,4333.23017408,65252
c-38,5,30,2500,8127,77689,347.978088604,4254.60021906,57195,83.4489771659,4417.49431387,57195
c-53,5,30,500,30235,355139,304.862324083,4015.89521297,16779,50.4667392038,4163.41148886,16779
c-44,5,30,2500,10728,85000,262.674055829,4367.93422405,36876,88.8570079324,4408.71369295,36876
c-50,5,30,500,22401,180245,98.6960597573,4301.78997613,40640,105.393824063,4217.90171607,40640
c-25,5,30,5000,3797,49635,38.1115090193,4482.39012643,65119,61.7746557837,4386.00883652,65119
c-46,5,30,500,14913,130397,74.6276065206,4143.97245763,9928,259.690569652,3931.5678392,9928
c-45,5,30,500,13206,174452,70.8120290011,4207.04180064,20202,50.2051821221,4196.92060946,20202
c-18,5,30,5000,2169,15145,175.319134282,3773.67109635,22676,225.941687944,4238.33955224,22676
c-35,5,30,2500,6537,62891,60.172878034,4422.71448664,22067,97.0469741696,4387.74418605,22067
c-33,5,30,2500,6317,56123,49.966278903,4271.15677321,13867,47.401595831,4165.48738248,13867
c-48,5,30,500,18354,166080,52.8318370467,4332.52173913,12399,467.646006929,3389.3877551,12399
c-56,5,30,500,35910,380240,110.454867096,4320.90909091,26139,31.2906878228,4281.98198198,26139
c-42,5,30,500,10471,110285,72.003714226,4193.3460076,60960,109.505511879,4151.25470514,60960
c-21,5,30,5000,3509,32145,108.979228428,4409.46502058,38206,459.615842797,4057.00462768,38206
c-27,5,30,5000,4563,30927,152.032304422,4395.12079583,21006,205.307421481,4265.79310345,21006
c-26,5,30,5000,4307,34537,427.162148275,4048.8862837,41890,103.154852519,4424.03928266,41890
c-20,5,30,5000,2921,20445,32.146838164,4362.37553343,29137,401.291645415,3964.77052359,29137
c-24,5,30,5000,4119,35699,132.533166317,4332.40291262,15063,111.392679666,4249.88095238,15063
c-31,5,30,2500,5339,78571,221.314473804,4233.3512931,37252,80.7800867101,4236.39468009,37252
c-67,5,30,500,57975,530229,341.677263491,4047.54961832,60123,34.9592229139,4146.73357664,60123
c-40,5,30,2500,9941,81501,55.3441340956,4289.52631579,59548,90.1289637093,4209.76239669,59548
c-36,5,30,2500,7479,65941,293.335250074,4142.02261307,9709,16.4689058892,4276.32944228,9709
c-28,5,30,5000,4598,30590,57.2386932303,4448.37615124,23051,302.792523322,4302.39099859,23051
c-47,5,30,500,15343,211401,158.582148364,4250.69034853,30664,36.6622185034,4205.59018568,30664
c-64b,5,30,500,51035,707601,84.8563958055,4205.23573693,52920,319.894261918,3988.73167982,52920
c-39,5,30,500,9271,116587,304.132345292,4052.85052144,15595,110.941875797,4081.2252042,15595
c-54,5,30,500,31793,385987,292.445512303,4151.88598064,56102,110.425238294,4115.0,56102
c-51,5,30,500,23196,203048,404.782424322,3994.38688525,30394,249.264319527,4113.05874409,30394
c-22,5,30,5000,3792,28870,114.902283324,4356.63983903,61949,82.1403801927,4407.63358779,61949
c-34,5,30,2500,6611,64333,281.723445308,4260.46357616,61789,128.293804271,4258.58340688,61789
c-23,5,30,5000,3969,31079,327.270423317,4209.34537246,64428,119.090467741,4346.71328671,64428
c-64,5,30,500,51035,707985,235.507287023,4074.34298868,3371,78.5013744668,4102.67529457,3371
c-66,5,30,500,49989,444853,71.7178361845,4344.26757812,16724,116.62856395,4256.96650718,16724
c-52,5,30,500,23948,202708,163.94075448,4297.69611307,9874,195.072775572,4139.71409122,9874
c-73b,5,30,25,169422,1279274,137.622761961,3586.74953271,30252,113.705110844,3600.20825516,30252
c-big,5,30,25,345241,2340859,238.913791939,3500.78614158,52631,137.382683785,3290.80459231,52631
c-49,5,30,500,21132,157040,31.322929711,4362.22222222,11749,57.7631121392,4290.71038251,11749
c-62,5,30,500,41731,559341,81.9340545791,4351.71939834,46083,432.92872396,3926.11839027,46083
c-43,5,30,500,11125,123659,105.432402579,4126.55172414,14525,300.441700865,3959.19957311,14525
c-73,5,30,25,169422,1279274,98.5749230731,3690.21346154,32335,61.313372067,3546.97042514,32335
c-61,5,30,500,43618,310016,78.037022286,4374.6378175,39929,98.7359292747,4248.734582,39929
c-32,5,30,2500,5975,54471,301.877594236,3825.21067416,57695,53.9499198773,4226.92705639,57695
c-57,5,30,500,37833,403373,24.6175196445,4262.48326876,30353,368.758591306,3837.9923882,30353
c-29,5,30,5000,5033,43731,40.7967822553,4417.27272727,53598,520.700986119,3961.14130435,53598
c-30,5,30,2500,5321,65693,41.8784020824,4278.74511507,1072,25.0623072863,4249.22380336,1072
c-41,5,30,500,9769,101635,370.194274179,4059.98668442,26440,292.02148683,4027.80713342,26440
c-66b,5,30,500,49989,444851,150.25311101,4252.87762906,31222,390.953247189,3964.80392157,31222
c-67b,5,30,500,57975,530583,32.7067222414,4288.1169181,36331,56.4994199938,4187.71112865,36331
c-19,5,30,5000,2327,21817,178.780421876,4366.31087392,55401,332.293113446,4142.46835443,55401
c-60,5,30,500,43640,298570,108.071162354,4360.80817916,23517,117.799886013,4331.28626692,23517
hvdc1,5,30,500,24842,158426,498.55945711,3898.9171452,35031,404.506152823,4187.47136564,35031
hvdc2,5,30,25,189860,1339638,213.712819015,3569.19538188,34958,226.440656671,3525.36315789,34958
tmt_unsym,5,30,25,917825,4584801,100.517311129,3475.08918646,31743,126.943049303,3632.96434231,31743
t2em,5,30,25,921632,4590832,84.1283338315,3609.14465409,56113,382.781640189,3412.4122894,56113
tmt_sym,5,30,25,726713,5080961,197.337987348,3336.88331874,7143,113.07557812,3539.91709243,7143
vsp_south31_slptsk,5,30,500,39668,379828,387.467960065,3938.76253025,41741,112.653927584,4052.21906117,41741
vsp_bump2_e18_aa01_model1_crew1,5,30,500,56438,601602,391.85157711,3937.18586387,51437,38.2490104228,3984.998896,51437
ks2010,5,30,25,238600,1121798,302.724644097,3385.7082495,53492,183.657444654,3476.64669421,53492
333SP,5,30,25,3712815,22217266,27.9743116427,1212.24760831,5542,38.9199343901,1070.505252,5542
fe_tooth,5,30,500,78136,905182,269.295254974,4053.65875504,43844,319.023233183,3893.81416691,43844
uk,5,30,5000,4824,13674,176.391499788,4410.96774194,291,110.014768886,4640.49773756,291
fe_rotor,5,30,25,99617,1324862,361.519853243,3052.67741935,54066,193.860313157,2970.5426009,54066
hi2010,5,30,500,25016,124126,150.296818367,4335.01746217,49721,149.891565698,4236.38225256,49721
delaunay_n20,5,30,25,1048576,6291372,56.5258416993,2668.85124434,42381,122.068996564,2460.12982273,42381
citationCiteseer,5,30,25,268495,2313294,34.9540772566,2331.94959677,42626,212.714409741,1932.03841871,42626
