name,num_workers,outer,inner,N,nnz,nlevels,sd,mflops,sum
spaceStation_10,5,30,125000,1272,9654,7,44.2753048319,1843.41782502,29620
freeFlyingRobot_15,5,30,25000,6038,25917,3,28.3309904191,3411.84066753,50020
reorientation_3,5,30,25000,2513,17858,7,56.4094460729,2914.93035234,30650
spaceStation_13,5,30,25000,1617,12987,7,46.5802981818,2374.59378656,30260
spaceStation_2,5,30,25000,329,3147,7,89.2556239722,1168.99660308,29318
spaceStation_8,5,30,25000,1157,10305,7,116.965008269,2025.79144682,48532
kineticBatchReactor_5,5,30,25000,7641,46029,10,13.6747503937,3578.60897581,17614
kineticBatchReactor_7,5,30,25000,7968,48141,10,5.53904791143,3365.45399116,12135
goddardRocketProblem_2,5,30,25000,867,5179,6,67.9311375833,1882.63686855,36226
freeFlyingRobot_2,5,30,125000,1338,6738,3,32.8731145851,2701.65598291,61449
freeFlyingRobot_14,5,30,25000,5958,25821,3,20.4832633731,3430.75998798,28604
dynamicSoaringProblem_1,5,30,125000,647,3149,2,42.9604737263,1972.01284199,1982
dynamicSoaringProblem_2,5,30,125000,1591,8938,2,101.054231411,3287.86206525,49488
lowThrust_8,5,30,2500,17702,121008,2,14.5357616644,5096.50106028,17790
reorientation_8,5,30,25000,3108,21142,7,34.117257184,3088.29093967,2214
freeFlyingRobot_4,5,30,25000,2358,10761,3,24.6302379169,3016.36935992,553
lowThrust_1,5,30,125000,584,3403,2,140.447555623,1935.66450971,26421
spaceStation_1,5,30,250000,99,537,7,1.16966869331,255.333635951,9919
lowThrust_12,5,30,2500,18458,125628,2,120.053769556,4977.15222349,23186
kineticBatchReactor_2,5,30,25000,4361,25642,10,15.3525353216,2927.3207453,22749
tumorAntiAngiogenesis_7,5,30,25000,475,2631,5,99.7823079255,1523.22868053,12761
reorientation_2,5,30,25000,1544,10046,7,59.266149062,2447.82685201,60554
dynamicSoaringProblem_3,5,30,25000,2871,18075,2,58.370195265,4186.38879571,32984
freeFlyingRobot_12,5,30,25000,5578,24876,3,13.6661198624,3466.62132468,54188
