name,workers,outer,inner,N,nnz,csrnnz_sd,csrnnz_mflops,csrnnz_sum,csrnnzgs_sd,csrnnzgs_mflops,csrnnzgs_sum,csrnnzsorted_sd,csrnnzsorted_mflops,csrnnzsorted_sum,csrnnzgssorted_sd,csrnnzgssorted_mflops,csrnnzgssorted_sum,csrnnzshort_sd,csrnnzshort_mflops,csrnnzshort_sum,csrnnzgsshort_sd,csrnnzgsshort_mflops,csrnnzgsshort_sum,csrnnzunroll2_sd,csrnnzunroll2_mflops,csrnnzunroll2_sum,csrnnzunroll3_sd,csrnnzunroll3_mflops,csrnnzunroll3_sum,csrnnzunroll4_sd,csrnnzunroll4_mflops,csrnnzunroll4_sum
web-NotreDame,5,30,25,325729,1497134,96.8204011295,4097.99452555,25450,262.10274814,2875.41741357,9776,622.906060353,3610.45176849,25450,43.7924421219,2699.15985577,9776,277.860321419,5450.73058252,25450,83.17448657,4369.06809339,9776,416.400249481,5463.99270073,25450,163.17477078,5817.87823834,25450,276.974716223,5628.32330827,25450
soc-Slashdot0811,5,30,500,77360,905468,99.2908669381,3704.35565253,24975,29.5430270289,2294.45392347,44909,251.126976156,5320.02350176,24975,36.6568778462,3032.71631126,44909,191.285532025,5709.12988651,24975,150.912889538,5126.25778449,44909,515.963186572,6165.23831139,24975,228.864201959,6555.02895753,24975,420.53573872,6336.37508747,24975
amazon0505,5,30,25,410236,3356824,289.720499119,2900.48156682,37719,67.0634252154,2336.53642691,18584,113.804775739,3174.80201765,37719,88.7176110711,1687.41152815,18584,78.5421674716,3299.63040629,37719,14.0973140967,1732.10732714,18584,57.9324863514,3463.02338377,37719,438.15130848,2882.21866056,37719,72.6804748227,3089.10184049,37719
amazon0312,5,30,25,400727,3200440,308.661421083,2918.3343465,20510,33.8183372452,2354.41883276,6620,63.9343849925,3324.5567867,20510,14.9240723526,1736.85238784,6620,426.816310523,2956.07142857,20510,21.2893392337,1715.74696212,6620,96.7366906035,3414.40967283,20510,126.151028554,3463.67965368,20510,196.204366463,3017.38529227,20510
ca-CondMat,5,30,500,23133,186936,107.888868911,5056.88007214,21616,119.299059169,3547.17267552,43127,294.609449799,6431.28440367,21616,27.3148491875,3195.48717949,43127,185.61474696,7036.4868256,21616,26.6321265321,5335.94671741,43127,1162.85879235,4919.36842105,21616,172.71804849,7226.90721649,21616,792.774180284,6724.31654676,21616
roadNet-TX,5,30,25,1393383,3843320,265.067699216,2862.45283019,58545,35.7277771232,1795.38461538,55048,33.8751301076,2817.68328446,58545,98.4999033844,1553.48423605,55048,62.1529308703,3322.75504323,58545,75.286452832,2799.89315202,55048,120.972946387,3298.04347826,58545,187.965745563,3260.73529412,58545,85.9389761563,3322.75504323,58545
ca-HepTh,5,30,2500,9877,51971,374.846338045,4615.54174067,22873,351.299708862,3179.30261011,5335,300.624798011,6187.02380952,22873,50.7746229881,2346.67369055,5335,351.121298828,6979.0957923,22873,254.674508175,4243.68535656,5335,74.1653634813,6796.55623365,22873,309.730820525,7035.78519856,22873,128.837411751,6935.6316726,22873
soc-sign-Slashdot081106,5,30,500,77357,516575,96.4044971831,2614.68702548,15401,35.955783814,1836.16706161,62173,385.646790275,4227.2913257,15401,41.9603750144,2630.21894094,62173,232.938463282,5409.16230366,15401,17.894211648,4663.63226001,62173,380.034474375,5668.34308705,15401,52.2963806385,6166.83247115,15401,44.4856020313,6196.42143143,15401
p2p-Gnutella24,5,30,2500,26518,65369,449.004459385,4058.5057947,42791,122.570207508,3505.66678584,52433,27.9683606571,4529.03002309,42791,11.7432036232,3019.81829381,52433,573.077407935,7220.43446244,42791,268.027065904,5839.99404407,52433,291.074273284,7467.89794364,42791,1139.10507771,6743.70701513,42791,297.219914424,7838.00959233,42791
soc-sign-epinions,5,30,500,131828,841372,74.6160481257,2794.63684677,14518,13.6881720059,1937.15732924,53256,215.367410341,4188.70892798,14518,13.5960784937,2137.63211382,53256,53.5661578468,5153.36055533,14518,16.7561709869,4547.95675676,53256,11.6777789057,5388.80444065,14518,64.8970884007,5668.34942735,14518,556.935079638,5297.20041973,14518
ca-HepPh,5,30,500,12008,237010,354.30651531,6487.5,57903,143.442171664,5890.88649544,45752,248.201235635,7277.68679632,57903,36.3741939078,4537.52393108,45752,120.151695375,7813.51648352,57903,63.9738173433,6204.45026178,45752,159.386567812,7813.51648352,57903,87.5699887088,8201.03806228,57903,120.484746416,8098.29157175,57903
p2p-Gnutella04,5,30,5000,10879,39994,750.930565861,4907.2392638,36826,126.732640048,4041.15863927,18636,91.4780401787,5765.59346468,36826,232.352878221,3327.28785358,18636,396.597034473,7720.84942085,36826,203.033779055,5925.03703704,18636,845.134596299,7293.73860182,36826,432.862460824,8036.30274615,36826,340.475018232,7988.14913449,36826
soc-Epinions1,5,30,500,75888,508837,4.34601938466,2555.25778373,17359,20.9829372574,1558.61854196,7202,213.771384471,4712.90830503,17359,38.056527421,2239.59947183,7202,124.463078381,5916.70930233,17359,23.74957348,5054.67218543,7202,489.073625666,5882.50867052,17359,33.2124807477,6300.08666942,17359,38.4695689884,6313.11414392,17359
ca-GrQc,5,30,5000,5242,28980,809.946044595,5386.61710037,5511,163.606947536,4587.86279683,35027,159.057284286,6309.1436865,5511,52.7375720735,2338.35395374,35027,48.7789289572,7612.95971979,5511,26.7866971774,4587.86279683,35027,62.7215498748,7039.67611336,5511,91.3219504805,7287.51047779,5511,507.36869893,6921.97452229,5511
p2p-Gnutella31,5,30,500,62586,147892,235.471259948,3731.50546678,51069,171.053188308,3155.59032717,47482,49.7892550786,3838.02768166,51069,9.63264837087,2792.17117684,47482,692.899496769,5024.64326161,51069,731.964458149,4295.02420136,47482,126.323887686,6248.95774648,51069,854.335173757,6061.14754098,51069,560.720736618,6338.22857143,51069
soc-sign-Slashdot090216,5,30,500,81871,545671,99.7983792076,2631.43063816,7747,62.3766809953,1866.6054732,48589,368.116035647,4367.69743863,7747,60.5259926516,2739.7707113,48589,141.145860574,5460.35023349,7747,46.0040768132,4651.92668372,48589,503.887212777,5521.12310287,7747,95.4506064387,6214.93166287,7747,49.2836956046,6222.01824401,7747
roadNet-CA,5,30,25,1971281,5533214,91.224179175,3018.11672727,42662,44.9770873539,1771.19526248,26835,118.118168531,2484.97634731,42662,33.6361406205,1494.9245317,26835,231.28111049,2859.04960386,42662,26.8411007269,2505.22819197,26835,78.4127286399,3011.54608128,42662,141.278956707,3050.28335171,42662,16.2822622357,3096.94813433,42662
ca-AstroPh,5,30,500,18772,396160,932.8725146,5525.24407252,50455,181.734614459,5945.37268634,18649,179.891934909,7268.99082569,50455,185.805411061,5025.28541226,18649,1411.78903022,5954.30861723,50455,203.569302298,5889.39544103,18649,546.636441518,7327.25030826,50455,396.921722359,7976.37583893,50455,892.781705494,7216.0291439,50455
p2p-Gnutella25,5,30,2500,22687,54705,251.233292049,4476.67757774,39131,241.71728786,3578.60880942,46083,78.0296427437,4589.34563758,39131,138.098214627,3045.93541203,46083,376.251267302,7473.36065574,39131,342.616092283,5907.66738661,46083,648.759843783,7452.9972752,39131,165.173014746,8124.5049505,39131,1307.53116579,6082.8391401,39131
Oregon-2,5,30,2500,11806,65460,22.1876249345,3831.05735466,34098,108.464733997,2066.28787879,29736,57.2661390568,6049.90757856,34098,36.3716242314,2072.83090564,29736,466.264251683,7731.49606299,34098,305.775990402,5569.48383437,29736,412.470150964,7689.11511355,34098,446.565955868,7982.92682927,34098,815.556595091,7570.54741712,34098
Oregon-1,5,30,5000,11492,46818,131.942848319,3474.00445214,3653,9.86302997309,1741.52510849,50362,683.810852253,5369.03669725,3653,25.1193854814,1870.72456047,50362,290.42558022,7696.10958904,3653,217.588261225,6355.38461538,50362,281.759466865,7850.97820011,3653,983.281640049,7140.51855618,3653,374.204113321,7975.80919932,3653
p2p-Gnutella06,5,30,5000,8717,31525,543.921286192,5770.28676022,11393,485.075939867,4078.26649418,28382,343.101575885,5693.85912101,11393,16.5986308779,3583.74384236,28382,728.477546195,7657.89473684,11393,612.174691105,5576.35613208,28382,173.947076298,7816.11570248,11393,396.937564427,8167.0984456,11393,594.614761861,8069.53924915,11393
cit-HepPh,5,30,500,34546,421578,452.264028323,4796.10921502,10802,22.5907929793,3855.89634146,24033,239.511393527,6639.02362205,10802,131.874923305,4137.17369971,24033,373.009487408,6825.33189423,10802,32.1455381681,5293.98911679,24033,412.349559036,6975.91836735,10802,922.2156687,6748.84738527,10802,348.16717133,7276.95051784,10802
amazon0601,5,30,25,403394,3387388,32.4350889196,3303.69440832,61242,63.4505305426,2409.23755334,55124,67.561498983,3273.89304124,61242,157.673480775,1770.41184669,55124,89.95069948,3276.00386847,61242,38.6932505203,1890.28348214,55124,44.3980553804,3430.84537475,61242,337.607443978,3044.38705812,61242,22.5787641443,3378.37898936,61242
halfb,5,30,25,224617,12387821,204.068417011,6608.01262447,58836,663.224029849,7359.10158416,58567,214.525764594,6389.86640303,58836,965.429350434,6535.95902216,58567,268.687645902,6497.10891608,58836,245.406635397,7233.06014013,58567,744.735704741,6463.21095652,58836,186.196605139,7210.60593714,58836,89.0792616423,6864.32637606,58836
shipsec1,5,30,25,140874,3568176,113.044567837,6356.60807601,46799,273.948045291,5894.56387665,24310,259.982195775,6282.0,46799,695.97930342,5151.36092397,24310,116.620180588,6296.78117647,46799,291.895522225,5933.77383592,24310,63.3974519198,6844.32736573,46799,152.719345993,6996.42352941,46799,929.141758718,6194.75,46799
fullb,5,30,25,199187,11708077,287.352455236,6703.09751908,8337,211.782380894,7649.00500871,23591,921.938386518,5729.8908646,8337,228.200706361,7425.84164905,23591,219.655597477,6577.57134831,8337,836.495942393,6672.53628419,23591,225.614875151,7033.28614337,8337,108.883076241,7239.12427865,8337,377.226073877,6545.70089452,8337
